Time, TargetPitch, SensorPitch, TargetRoll, SensorRoll, VelM1, VelM2, VelM3
15.8722,0.1700, -0.0062,0.1700, 0.0023,0.6432, 0.0639, 0.1638
32.9141,0.1700, -0.0062,0.1700, 0.0023,2.4608, 0.4234, -1.7537
52.8819,0.1700, -0.0065,0.1700, 0.0022,4.5181, 1.3023, -4.5101
72.8706,0.1700, -0.0031,0.1700, 0.0042,3.9987, 1.4221, -5.8882
92.8690,0.1700, 0.0069,0.1700, 0.0124,3.2597, 1.5619, -5.2291
112.8685,0.1700, 0.0198,0.1700, 0.0253,2.6006, 1.3822, -3.9708
132.8663,0.1700, 0.0296,0.1700, 0.0354,2.6405, 0.8429, -3.5713
152.8708,0.1700, 0.0348,0.1700, 0.0404,2.9401, 0.8229, -3.3516
172.8661,0.1700, 0.0406,0.1700, 0.0449,2.8602, 1.2224, -3.3915
193.8663,0.1700, 0.0483,0.1700, 0.0494,2.6405, 1.4421, -4.1306
213.8657,0.1700, 0.0554,0.1700, 0.0550,2.7004, 1.1824, -3.6911
233.8728,0.1700, 0.0624,0.1700, 0.0627,2.3209, 1.2623, -3.4515
253.8711,0.1700, 0.0690,0.1700, 0.0692,2.4208, 0.9028, -3.2917
273.8634,0.1700, 0.0747,0.1700, 0.0745,2.3609, 0.7031, -2.8123
293.8629,0.1700, 0.0801,0.1700, 0.0797,2.3409, 0.1238, -2.9921
313.8611,0.1700, 0.0856,0.1700, 0.0834,2.0413, 0.9228, -3.0320
333.8622,0.1700, 0.0910,0.1700, 0.0859,2.2011, 1.5020, -3.1718
353.8624,0.1700, 0.0961,0.1700, 0.0895,2.0413, 1.5020, -2.9921
373.8593,0.1700, 0.1006,0.1700, 0.0956,1.7018, 0.8229, -2.4528
393.8603,0.1700, 0.1057,0.1700, 0.1025,1.6818, 0.1438, -2.1332
413.8564,0.1700, 0.1104,0.1700, 0.1075,1.9614, 0.3036, -2.3729
433.8546,0.1700, 0.1143,0.1700, 0.1096,1.6618, 1.1625, -2.7923
453.8570,0.1700, 0.1182,0.1700, 0.1113,1.5020, 0.9028, -1.9734
473.8538,0.1700, 0.1217,0.1700, 0.1157,1.7817, -0.0160, -1.9534
493.8535,0.1700, 0.1251,0.1700, 0.1208,1.7417, 0.1638, -2.2530
513.8546,0.1700, 0.1289,0.1700, 0.1236,1.3822, 1.5819, -2.2530
533.8530,0.1700, 0.1326,0.1700, 0.1248,1.3622, 1.9614, -2.0533
553.8521,0.1700, 0.1360,0.1700, 0.1281,1.3223, 0.5233, -1.7936
574.8489,0.1700, 0.1391,0.1700, 0.1350,1.4421, 0.1238, -2.2530
594.8500,0.1700, 0.1422,0.1700, 0.1399,1.1625, 0.0639, -1.8536
614.8490,0.1700, 0.1448,0.1700, 0.1400,0.8029, 0.0639, -1.8735
634.8478,0.1700, 0.1473,0.1700, 0.1407,1.0426, 0.1638, -1.6938
654.8490,0.1700, 0.1503,0.1700, 0.1429,1.1625, 1.3422, -1.1545
674.8470,0.1700, 0.1517,0.1700, 0.1430,1.5819, 1.0227, -1.3742
