Time, TargetPitch, SensorPitch, TargetRoll, SensorRoll, VelM1, VelM2, VelM3
14.1989,0.1700, -0.0090,0.1700, -0.0069,0.7830, 0.2437, 0.0639
30.2011,0.1700, -0.0089,0.1700, -0.0067,4.1985, 1.0426, -3.8909
51.1918,0.1700, -0.0073,0.1700, -0.0057,7.7937, 2.2810, -10.8617
70.1915,0.1700, -0.0032,0.1700, -0.0029,7.8337, 2.8203, -11.8005
91.1907,0.1700, 0.0061,0.1700, 0.0052,6.2358, 2.6605, -8.8643
110.1904,0.1700, 0.0271,0.1700, 0.0209,3.8789, 2.6206, -5.0693
130.1882,0.1700, 0.0547,0.1700, 0.0432,1.4820, 2.1212, -3.3716
150.1880,0.1700, 0.0763,0.1700, 0.0688,0.6831, 0.8429, -2.8522
170.1862,0.1700, 0.0863,0.1700, 0.0880,0.5233, 0.0040, -2.6126
190.1868,0.1700, 0.0858,0.1700, 0.0934,1.7617, 0.0639, -2.0733
211.1894,0.1700, 0.0807,0.1700, 0.0844,2.2810, 0.0439, -1.5739
232.1843,0.1700, 0.0775,0.1700, 0.0704,2.7004, 0.0639, -1.6538
251.1821,0.1700, 0.0787,0.1700, 0.0637,2.8003, 0.9627, -2.7524
271.1843,0.1700, 0.0848,0.1700, 0.0701,2.5207, 2.4408, -4.0906
291.1821,0.1700, 0.0957,0.1700, 0.0843,1.5619, 1.7617, -3.9907
311.1818,0.1700, 0.1076,0.1700, 0.0974,0.8229, 1.0626, -2.5526
332.1791,0.1700, 0.1133,0.1700, 0.1061,0.8828, 0.4035, -1.9335
351.1805,0.1700, 0.1124,0.1700, 0.1101,1.5020, 0.1039, -1.3542
372.1804,0.1700, 0.1108,0.1700, 0.1092,1.8815, 0.0639, -1.9534
391.1777,0.1700, 0.1124,0.1700, 0.1060,1.6818, 1.1025, -2.1532
411.1771,0.1700, 0.1164,0.1700, 0.1058,1.6418, 1.8416, -2.2730
431.1765,0.1700, 0.1217,0.1700, 0.1109,1.4621, 0.2836, -2.0333
451.1745,0.1700, 0.1266,0.1700, 0.1189,1.1625, 0.9827, -2.1332
472.1753,0.1700, 0.1300,0.1700, 0.1262,1.0626, -0.0360, -2.0733
491.1740,0.1700, 0.1335,0.1700, 0.1293,1.0426, 0.0839, -1.7337
511.1740,0.1700, 0.1359,0.1700, 0.1287,1.0826, 0.6232, -1.1545
532.1707,0.1700, 0.1361,0.1700, 0.1280,1.2024, 1.9614, -1.4741
551.1732,0.1700, 0.1364,0.1700, 0.1288,1.2224, 1.9015, -1.8336
572.1705,0.1700, 0.1385,0.1700, 0.1320,1.3023, 0.3236, -2.1332
591.1709,0.1700, 0.1411,0.1700, 0.1384,1.3023, 0.1039, -1.5939
612.1700,0.1700, 0.1442,0.1700, 0.1465,1.2823, 0.0639, -1.3143
632.1673,0.1700, 0.1490,0.1700, 0.1506,0.7430, 0.0639, -1.1545
652.1675,0.1700, 0.1530,0.1700, 0.1492,0.5033, 0.0639, -1.2743
672.1662,0.1700, 0.1533,0.1700, 0.1468,0.9827, 0.0639, -1.1145
692.1659,0.1700, 0.1516,0.1700, 0.1465,1.3422, 0.0639, -1.0546
712.1656,0.1700, 0.1525,0.1700, 0.1477,1.6618, 0.0639, -1.3342
733.1661,0.1700, 0.1563,0.1700, 0.1493,0.7230, 1.4621, -1.4341
752.1642,0.1700, 0.1603,0.1700, 0.1514,0.5033, 0.8229, -1.1145
773.1643,0.1700, 0.1626,0.1700, 0.1540,0.5433, 0.9827, -1.2743
793.1632,0.1700, 0.1628,0.1700, 0.1574,0.9627, 0.5433, -1.0346
813.1623,0.1700, 0.1627,0.1700, 0.1610,0.8828, -0.0160, -0.9148
832.1608,0.1700, 0.1642,0.1700, 0.1637,1.0027, 0.0639, -0.9947
852.1599,0.1700, 0.1665,0.1700, 0.1653,0.4834, 0.0639, -0.7151
872.1578,0.1700, 0.1686,0.1700, 0.1659,0.1039, 0.0639, -0.7950
892.1568,0.1700, 0.1698,0.1700, 0.1658,0.7230, 0.1039, -0.4554
912.1573,0.1700, 0.1698,0.1700, 0.1660,0.9428, 1.4820, -1.0147
