Time, TargetPitch, SensorPitch, TargetRoll, SensorRoll, VelM1, VelM2, VelM3
14.1771,0.1700, -0.0281,0.1700, -0.0301,0.8029, 0.2237, 0.0439
30.1821,0.1700, -0.0280,0.1700, -0.0300,4.2983, 1.7817, -4.9695
50.1627,0.1700, -0.0271,0.1700, -0.0300,8.6127, 3.4195, -12.4596
70.1609,0.1700, -0.0228,0.1700, -0.0279,8.3730, 3.8190, -12.7392
90.1614,0.1700, -0.0130,0.1700, -0.0205,7.4941, 2.0213, -9.4236
110.1606,0.1700, 0.0057,0.1700, -0.0092,4.9375, 1.4221, -5.2890
130.1593,0.1700, 0.0341,0.1700, 0.0047,2.3809, 2.8802, -3.8110
150.1589,0.1700, 0.0616,0.1700, 0.0237,0.9627, 2.9601, -4.2504
170.1585,0.1700, 0.0799,0.1700, 0.0461,0.3036, 2.2211, -4.3503
190.1577,0.1700, 0.0867,0.1700, 0.0655,0.5433, 0.9028, -3.3516
210.1563,0.1700, 0.0826,0.1700, 0.0766,2.0213, 0.0839, -2.1332
230.1548,0.1700, 0.0740,0.1700, 0.0790,3.0001, 0.0639, -2.1332
250.1541,0.1700, 0.0706,0.1700, 0.0727,3.1199, 0.0439, -2.1731
271.1549,0.1700, 0.0765,0.1700, 0.0609,2.3010, 0.0639, -2.3929
291.1541,0.1700, 0.0874,0.1700, 0.0524,1.9015, 1.0227, -3.3915
311.1531,0.1700, 0.0964,0.1700, 0.0550,1.5819, 3.9788, -4.1905
331.1519,0.1700, 0.1020,0.1700, 0.0683,1.5220, 2.8203, -3.8310
351.1513,0.1700, 0.1071,0.1700, 0.0837,1.5420, 1.1824, -2.7724
371.1522,0.1700, 0.1118,0.1700, 0.0966,1.4820, 0.0040, -2.2730
391.1477,0.1700, 0.1155,0.1700, 0.1057,1.3223, 0.0639, -1.7936
411.1481,0.1700, 0.1189,0.1700, 0.1092,1.3622, 0.0639, -2.0932
431.1479,0.1700, 0.1224,0.1700, 0.1074,1.0626, 0.0639, -1.9534
