Time, TargetPitch, SensorPitch, TargetRoll, SensorRoll, VelM1, VelM2, VelM3
15.1422,0.1700, -0.0319,0.1700, -0.0006,1.0227, 0.0639, 0.0240
32.1512,0.1700, -0.0319,0.1700, -0.0006,5.3170, 0.8828, -4.3902
52.1392,0.1700, -0.0322,0.1700, -0.0009,9.7911, 2.2610, -10.5621
72.1334,0.1700, -0.0281,0.1700, 0.0035,9.0920, 2.1811, -12.1800
92.1490,0.1700, -0.0086,0.1700, 0.0194,6.0560, 1.6818, -9.0041
112.1299,0.1700, 0.0214,0.1700, 0.0436,2.1612, 0.6432, -5.1692
132.1242,0.1700, 0.0436,0.1700, 0.0625,1.5619, 0.2037, -2.4927
152.1302,0.1700, 0.0495,0.1700, 0.0659,2.2810, 0.5633, -2.0333
172.1318,0.1700, 0.0494,0.1700, 0.0633,3.1199, 2.0613, -2.8522
192.1514,0.1700, 0.0553,0.1700, 0.0676,3.0799, 1.2823, -2.9321
212.1596,0.1700, 0.0633,0.1700, 0.0777,2.4408, 0.4834, -3.4914
232.1272,0.1700, 0.0700,0.1700, 0.0858,1.8815, -0.0360, -2.7524
252.1332,0.1700, 0.0760,0.1700, 0.0900,1.9414, 0.2437, -2.1931
272.1667,0.1700, 0.0808,0.1700, 0.0923,1.6219, 1.5020, -2.4128
292.1607,0.1700, 0.0860,0.1700, 0.0937,1.8416, 1.3422, -2.3729
315.1284,0.1700, 0.0903,0.1700, 0.0983,2.2410, 0.1438, -2.1132
333.1407,0.1700, 0.0944,0.1700, 0.1053,2.0813, -0.0759, -2.1332
353.1489,0.1700, 0.1000,0.1700, 0.1091,1.6219, 0.0639, -2.3729
376.1607,0.1700, 0.1050,0.1700, 0.1109,1.6618, 0.0639, -1.7936
395.1119,0.1700, 0.1089,0.1700, 0.1129,1.7617, 0.5633, -1.5140
419.1629,0.1700, 0.1123,0.1700, 0.1141,1.5020, 1.5220, -1.7137
439.2416,0.1700, 0.1152,0.1700, 0.1163,1.3023, 1.2024, -1.6738
459.1603,0.1700, 0.1183,0.1700, 0.1219,1.6818, 0.1039, -2.0533
479.1588,0.1700, 0.1220,0.1700, 0.1276,1.5420, 0.0639, -1.7936
499.1663,0.1700, 0.1259,0.1700, 0.1292,1.1625, 0.0639, -1.8735
522.1492,0.1700, 0.1288,0.1700, 0.1294,1.4820, 2.1412, -1.3143
541.1823,0.1700, 0.1323,0.1700, 0.1313,1.1425, 1.8615, -1.6538
560.1681,0.1700, 0.1347,0.1700, 0.1344,1.2424, -0.0759, -1.5739
583.1451,0.1700, 0.1366,0.1700, 0.1409,1.3822, 0.0839, -1.2543
605.1850,0.1700, 0.1411,0.1700, 0.1452,1.4221, -0.3755, -1.6938
624.1683,0.1700, 0.1419,0.1700, 0.1448,1.2424, -0.3555, -1.3942
644.1427,0.1700, 0.1431,0.1700, 0.1438,1.2823, 0.0439, -0.8149
664.1355,0.1700, 0.1472,0.1700, 0.1443,0.7230, 0.0240, -1.1944
690.1474,0.1700, 0.1492,0.1700, 0.1441,0.9627, 0.0439, -1.2743
709.2910,0.1700, 0.1510,0.1700, 0.1440,1.0826, 0.0639, -1.3942
727.0999,0.1700, 0.1538,0.1700, 0.1457,0.9627, 0.3236, -1.6139
747.1743,0.1700, 0.1566,0.1700, 0.1471,0.9428, 0.6831, -0.8549
767.0986,0.1700, 0.1581,0.1700, 0.1479,0.0040, 1.1425, -1.1944
789.1016,0.1700, 0.1594,0.1700, 0.1501,1.0826, 1.0426, -1.5340
807.1010,0.1700, 0.1602,0.1700, 0.1544,1.7817, 1.3223, -1.2344
827.0950,0.1700, 0.1602,0.1700, 0.1565,1.2623, 0.6032, -0.8549
847.0933,0.1700, 0.1622,0.1700, 0.1591,0.6432, 0.0839, -0.8149
867.0924,0.1700, 0.1667,0.1700, 0.1639,0.0040, 0.0639, -0.6951
887.1007,0.1700, 0.1684,0.1700, 0.1653,0.2637, 0.0639, -0.7750
907.0924,0.1700, 0.1669,0.1700, 0.1637,1.5619, 0.0639, -0.7950
