TargetPitch,SensorPitch,TargetRoll,SensorRoll
-0.1700,-0.0388,0.0000,-0.0273
-0.1700,-0.0387,0.0000,-0.0274
-0.1700,-0.0391,0.0000,-0.0273
-0.1700,-0.0421,0.0000,-0.0268
-0.1700,-0.0467,0.0000,-0.0261
-0.1700,-0.0513,0.0000,-0.0263
-0.1700,-0.0552,0.0000,-0.0267
-0.1700,-0.0576,0.0000,-0.0265
-0.1700,-0.0601,0.0000,-0.0262
-0.1700,-0.0634,0.0000,-0.0262
-0.1700,-0.0669,0.0000,-0.0259
-0.1700,-0.0701,0.0000,-0.0260
-0.1700,-0.0734,0.0000,-0.0263
-0.1700,-0.0764,0.0000,-0.0264
-0.1700,-0.0793,0.0000,-0.0260
-0.1700,-0.0822,0.0000,-0.0258
-0.1700,-0.0854,0.0000,-0.0264
-0.1700,-0.0888,0.0000,-0.0265
-0.1700,-0.0921,0.0000,-0.0261
-0.1700,-0.0953,0.0000,-0.0258
-0.1700,-0.0982,0.0000,-0.0259
-0.1700,-0.1011,0.0000,-0.0263
-0.1700,-0.1038,0.0000,-0.0265
-0.1700,-0.1066,0.0000,-0.0263
-0.1700,-0.1098,0.0000,-0.0259
-0.1700,-0.1125,0.0000,-0.0259
-0.1700,-0.1150,0.0000,-0.0261
-0.1700,-0.1180,0.0000,-0.0265
-0.1700,-0.1211,0.0000,-0.0267
-0.1700,-0.1240,0.0000,-0.0264
-0.1700,-0.1268,0.0000,-0.0260
-0.1700,-0.1297,0.0000,-0.0262
-0.1700,-0.1323,0.0000,-0.0266
-0.1700,-0.1347,0.0000,-0.0266
-0.1700,-0.1372,0.0000,-0.0271
-0.1700,-0.1397,0.0000,-0.0278
-0.1700,-0.1422,0.0000,-0.0277
-0.1700,-0.1448,0.0000,-0.0266
-0.1700,-0.1483,0.0000,-0.0263
-0.1700,-0.1516,0.0000,-0.0273
-0.1700,-0.1534,0.0000,-0.0277
-0.1700,-0.1552,0.0000,-0.0277
-0.1700,-0.1574,0.0000,-0.0279
-0.1700,-0.1603,0.0000,-0.0273
-0.1700,-0.1640,0.0000,-0.0267
-0.1700,-0.1660,0.0000,-0.0272
-0.1700,-0.1669,0.0000,-0.0281
-0.1700,-0.1701,0.0000,-0.0278
-0.1700,-0.1732,0.0000,-0.0281
-0.1700,-0.1730,0.0000,-0.0286
-0.1700,-0.1749,0.0000,-0.0282
-0.1700,-0.1802,0.0000,-0.0272
-0.1700,-0.1826,0.0000,-0.0264
-0.1700,-0.1831,0.0000,-0.0271
-0.1700,-0.1850,0.0000,-0.0284
-0.1700,-0.1870,0.0000,-0.0288
-0.1700,-0.1909,0.0000,-0.0278
-0.1700,-0.1959,0.0000,-0.0266
-0.1700,-0.1974,0.0000,-0.0267
-0.1700,-0.1978,0.0000,-0.0276
-0.1700,-0.1997,0.0000,-0.0282
-0.1700,-0.2023,0.0000,-0.0283
-0.1700,-0.2061,0.0000,-0.0278
-0.1700,-0.2096,0.0000,-0.0269
-0.1700,-0.2120,0.0000,-0.0265
-0.1700,-0.2144,0.0000,-0.0268
-0.1700,-0.2164,0.0000,-0.0279
-0.1700,-0.2177,0.0000,-0.0292
-0.1700,-0.2199,0.0000,-0.0282
-0.1700,-0.2252,0.0000,-0.0257
-0.1700,-0.2284,0.0000,-0.0260
-0.1700,-0.2287,0.0000,-0.0275
-0.1700,-0.2307,0.0000,-0.0284
-0.1700,-0.2322,0.0000,-0.0299
-0.1700,-0.2349,0.0000,-0.0292
-0.1700,-0.2396,0.0000,-0.0280
-0.1700,-0.2428,0.0000,-0.0271
-0.1700,-0.2447,0.0000,-0.0276
-0.1700,-0.2461,0.0000,-0.0288
