TargetPitch,SensorPitch,TargetRoll,SensorRoll
0.0000,-0.0360,-0.1700,-0.0241
0.0000,-0.0361,-0.1700,-0.0243
0.0000,-0.0361,-0.1700,-0.0243
0.0000,-0.0364,-0.1700,-0.0268
0.0000,-0.0367,-0.1700,-0.0313
0.0000,-0.0371,-0.1700,-0.0352
0.0000,-0.0373,-0.1700,-0.0384
0.0000,-0.0376,-0.1700,-0.0404
0.0000,-0.0378,-0.1700,-0.0428
0.0000,-0.0382,-0.1700,-0.0465
0.0000,-0.0386,-0.1700,-0.0504
0.0000,-0.0388,-0.1700,-0.0534
0.0000,-0.0391,-0.1700,-0.0554
0.0000,-0.0393,-0.1700,-0.0578
0.0000,-0.0397,-0.1700,-0.0610
0.0000,-0.0400,-0.1700,-0.0641
0.0000,-0.0403,-0.1700,-0.0669
0.0000,-0.0406,-0.1700,-0.0698
0.0000,-0.0409,-0.1700,-0.0722
0.0000,-0.0412,-0.1700,-0.0750
0.0000,-0.0415,-0.1700,-0.0780
0.0000,-0.0418,-0.1700,-0.0804
0.0000,-0.0421,-0.1700,-0.0832
0.0000,-0.0424,-0.1700,-0.0857
0.0000,-0.0428,-0.1700,-0.0886
0.0000,-0.0431,-0.1700,-0.0923
0.0000,-0.0435,-0.1700,-0.0952
0.0000,-0.0439,-0.1700,-0.0983
0.0000,-0.0442,-0.1700,-0.1007
0.0000,-0.0445,-0.1700,-0.1029
0.0000,-0.0448,-0.1700,-0.1057
0.0000,-0.0453,-0.1700,-0.1082
0.0000,-0.0456,-0.1700,-0.1108
0.0000,-0.0460,-0.1700,-0.1138
0.0000,-0.0464,-0.1700,-0.1167
0.0000,-0.0468,-0.1700,-0.1192
0.0000,-0.0471,-0.1700,-0.1218
0.0000,-0.0475,-0.1700,-0.1246
0.0000,-0.0478,-0.1700,-0.1273
0.0000,-0.0482,-0.1700,-0.1299
0.0000,-0.0486,-0.1700,-0.1327
0.0000,-0.0490,-0.1700,-0.1354
0.0000,-0.0495,-0.1700,-0.1379
0.0000,-0.0499,-0.1700,-0.1404
0.0000,-0.0504,-0.1700,-0.1427
0.0000,-0.0508,-0.1700,-0.1458
0.0000,-0.0512,-0.1700,-0.1489
0.0000,-0.0517,-0.1700,-0.1518
0.0000,-0.0521,-0.1700,-0.1543
0.0000,-0.0524,-0.1700,-0.1563
0.0000,-0.0528,-0.1700,-0.1587
0.0000,-0.0533,-0.1700,-0.1621
0.0000,-0.0538,-0.1700,-0.1652
0.0000,-0.0542,-0.1700,-0.1680
0.0000,-0.0546,-0.1700,-0.1703
0.0000,-0.0549,-0.1700,-0.1721
0.0000,-0.0554,-0.1700,-0.1750
0.0000,-0.0559,-0.1700,-0.1777
0.0000,-0.0563,-0.1700,-0.1800
0.0000,-0.0568,-0.1700,-0.1829
0.0000,-0.0573,-0.1700,-0.1866
0.0000,-0.0577,-0.1700,-0.1895
