Time, TargetAxialTrunk, SensorPitch, TargetFrontalTrunk, SensorRoll, VelM1, VelM2, VelM3
14.8409,0.0000, -0.0150,0.0000, -0.0027,0.0639, 0.0639, 0.0639
30.8383,0.0000, -0.0151,0.0000, -0.0027,0.0639, 0.0639, 0.0639
50.8449,0.0000, -0.0152,0.0000, -0.0026,0.0639, 0.0439, 0.0439
70.8424,20.0000, -0.0153,-12.0000, -0.0026,0.0639, 0.0439, 0.0240
90.8423,20.0000, -0.0153,-12.0000, -0.0026,0.5633, 0.0240, -0.2357
110.8400,20.0000, -0.0154,-12.0000, -0.0025,0.8828, -0.0360, -0.4155
130.8414,20.0000, -0.0150,-12.0000, -0.0018,0.6831, 0.0240, -0.0759
150.8396,20.0000, -0.0136,-12.0000, -0.0009,0.2437, -0.1558, -0.1758
170.8380,20.0000, -0.0117,-12.0000, -0.0008,0.0639, 0.0240, -0.0559
190.8357,20.0000, -0.0105,-12.0000, -0.0014,0.2836, -0.1358, 0.1838
210.8362,20.0000, -0.0105,-12.0000, -0.0011,0.3236, -0.1358, -0.0160
230.8378,20.0000, -0.0104,-12.0000, -0.0008,0.2836, -0.0559, -0.3755
251.8371,20.0000, -0.0096,-12.0000, -0.0013,0.2437, 0.0639, -0.1558
271.8349,20.0000, -0.0087,-12.0000, -0.0014,0.5033, 0.0439, -0.1957
291.8345,20.0000, -0.0084,-12.0000, -0.0007,0.1438, 0.0639, -0.0759
311.8336,20.0000, -0.0086,-12.0000, -0.0003,0.3036, 0.0639, -0.0959
331.8347,20.0000, -0.0086,-12.0000, -0.0006,0.1638, 0.0639, 0.0040
351.8318,20.0000, -0.0085,-12.0000, -0.0002,0.1238, 0.0439, -0.1957
371.8322,20.0000, -0.0088,-12.0000, 0.0003,0.2637, -0.1358, -0.0360
391.8321,20.0000, -0.0095,-12.0000, 0.0001,0.5033, -0.1358, -0.1558
411.8305,20.0000, -0.0098,-12.0000, -0.0003,0.2437, -0.1758, -0.0160
431.8303,20.0000, -0.0096,-12.0000, -0.0004,0.2237, -0.2157, 0.1039
451.8304,20.0000, -0.0097,-12.0000, -0.0005,0.1238, -0.0160, 0.0439
471.8280,20.0000, -0.0100,-12.0000, -0.0007,0.2836, 0.0439, 0.0240
491.8278,20.0000, -0.0106,-12.0000, -0.0010,0.5233, -0.1758, -0.0360
511.8280,20.0000, -0.0116,-12.0000, -0.0011,0.5832, 0.1438, -0.1758
531.8259,20.0000, -0.0128,-12.0000, -0.0012,0.3635, -0.2756, -0.2357
551.8267,20.0000, -0.0135,-12.0000, -0.0015,0.3236, -0.1558, 0.1238
571.8252,20.0000, -0.0140,-12.0000, -0.0020,0.3635, 0.0240, -0.1758
591.8238,20.0000, -0.0142,-12.0000, -0.0024,0.1039, 0.0439, -0.1358
612.8257,20.0000, -0.0149,-12.0000, -0.0023,0.3835, 0.0439, -0.2157
632.8224,20.0000, -0.0164,-12.0000, -0.0018,0.6631, -0.0559, -0.3356
652.8204,20.0000, -0.0182,-12.0000, -0.0013,0.4035, -0.1558, 0.0240
672.8176,20.0000, -0.0195,-12.0000, -0.0008,0.4834, -0.1158, 0.1438
692.8182,20.0000, -0.0207,-12.0000, -0.0007,0.5633, -0.2557, -0.0160
712.8173,20.0000, -0.0220,-12.0000, -0.0012,0.5233, 0.0839, -0.2157
732.8168,20.0000, -0.0225,-12.0000, -0.0020,0.4234, -0.1758, -0.0759
752.8171,20.0000, -0.0236,-12.0000, -0.0026,0.5033, -0.0360, -0.2756
772.8156,20.0000, -0.0264,-12.0000, -0.0028,0.5633, -0.1558, -0.4554
792.8140,20.0000, -0.0287,-12.0000, -0.0030,0.8029, -0.4155, -0.0360
812.8170,20.0000, -0.0280,-12.0000, -0.0034,0.7630, -0.1558, -0.2357
832.8133,20.0000, -0.0264,-12.0000, -0.0041,0.6032, 0.0439, -0.4754
852.8125,20.0000, -0.0279,-12.0000, -0.0045,0.5633, -0.2756, -0.8149
872.8141,20.0000, -0.0319,-12.0000, -0.0035,0.8828, -0.1957, -0.3955
892.8143,20.0000, -0.0335,-12.0000, -0.0021,0.9827, -0.1158, -0.3755
912.8145,20.0000, -0.0316,-12.0000, -0.0019,0.8229, -0.1358, -0.1158
932.8147,20.0000, -0.0307,-12.0000, -0.0030,0.5033, -0.3356, -0.5353
952.8113,20.0000, -0.0328,-12.0000, -0.0037,0.8029, -0.4155, -0.1558
