Time, TargetAxialTrunk, SensorPitch, TargetFrontalTrunk, SensorRoll, VelM1, VelM2, VelM3
15.1907,0.0000, -0.0528,0.0000, 0.0006,0.2237, 0.0639, 0.0639
32.1935,0.0000, -0.0529,0.0000, 0.0007,1.1225, 0.0439, -0.0360
51.1948,0.0000, -0.0525,0.0000, 0.0005,2.5606, -0.7350, -1.1145
72.2047,20.0000, -0.0512,-12.0000, 0.0006,2.5806, -1.6139, -1.4141
92.1948,20.0000, -0.0474,-12.0000, 0.0015,1.8416, -1.2743, -0.8948
111.1893,20.0000, -0.0390,-12.0000, 0.0014,0.7830, -0.9747, -0.3555
132.1917,20.0000, -0.0303,-12.0000, -0.0003,0.0839, -0.0360, -0.0959
152.1890,20.0000, -0.0270,-12.0000, -0.0013,-0.0559, 0.0240, -0.2357
172.1889,20.0000, -0.0272,-12.0000, -0.0008,0.8828, 0.0439, -0.0559
191.1877,20.0000, -0.0276,-12.0000, -0.0001,0.9627, 0.0439, -0.5353
212.1862,20.0000, -0.0267,-12.0000, -0.0004,0.8828, -0.3955, -0.2357
231.1874,20.0000, -0.0243,-12.0000, -0.0001,0.2437, -0.6551, -0.3156
253.1867,20.0000, -0.0213,-12.0000, 0.0005,0.1838, -0.2956, -0.1957
273.1836,20.0000, -0.0196,-12.0000, -0.0001,0.6432, -0.1358, 0.0639
293.1895,20.0000, -0.0194,-12.0000, -0.0010,0.5633, 0.0240, 0.0040
313.1847,20.0000, -0.0192,-12.0000, -0.0007,0.4634, -0.1957, -0.1358
333.1809,20.0000, -0.0182,-12.0000, -0.0002,0.6232, -0.1758, -0.0759
352.1803,20.0000, -0.0174,-12.0000, -0.0006,0.6432, -0.2357, -0.2756
373.1796,20.0000, -0.0171,-12.0000, -0.0009,0.3435, -0.3555, -0.1158
393.1794,20.0000, -0.0164,-12.0000, -0.0006,0.6232, -0.0559, -0.2357
412.1767,20.0000, -0.0155,-12.0000, -0.0009,0.5033, 0.0839, -0.2956
433.1787,20.0000, -0.0154,-12.0000, -0.0014,0.1438, -0.0160, -0.1158
453.1772,20.0000, -0.0149,-12.0000, -0.0009,0.8229, -0.0360, -0.2756
472.1766,20.0000, -0.0147,-12.0000, -0.0004,0.4634, -0.3356, -0.1957
493.1753,20.0000, -0.0160,-12.0000, -0.0004,0.7031, -0.3955, -0.3555
512.1755,20.0000, -0.0156,-12.0000, -0.0007,0.2637, -0.1957, -0.3955
533.1711,20.0000, -0.0144,-12.0000, -0.0011,0.5233, 0.0040, 0.1438
553.1733,20.0000, -0.0155,-12.0000, -0.0012,0.7830, -0.2557, -0.0759
573.1723,20.0000, -0.0163,-12.0000, -0.0014,0.8029, 0.0040, -0.2157
594.1690,20.0000, -0.0159,-12.0000, -0.0016,0.1438, -0.2756, -0.2557
614.1685,20.0000, -0.0160,-12.0000, -0.0013,0.4035, -0.0559, -0.2756
633.1682,20.0000, -0.0168,-12.0000, -0.0015,1.1824, -0.0759, -0.4953
654.1675,20.0000, -0.0181,-12.0000, -0.0018,0.8229, -0.2756, -0.1358
673.1658,20.0000, -0.0189,-12.0000, -0.0013,0.3635, -0.3356, -0.5553
694.1655,20.0000, -0.0182,-12.0000, -0.0012,-0.0360, -0.3356, -0.2357
714.1657,20.0000, -0.0182,-12.0000, -0.0018,0.2637, 0.0439, -0.1358
733.1630,20.0000, -0.0205,-12.0000, -0.0020,1.4621, -0.2557, -0.4953
754.1634,20.0000, -0.0230,-12.0000, -0.0024,1.4221, -0.3356, -0.2157
773.1646,20.0000, -0.0237,-12.0000, -0.0031,1.0227, -0.2557, -0.3156
794.1644,20.0000, -0.0219,-12.0000, -0.0038,-0.0160, -0.1158, -0.2357
813.1652,20.0000, -0.0200,-12.0000, -0.0041,0.1039, -0.2157, -0.1158
834.1646,20.0000, -0.0211,-12.0000, -0.0036,0.9827, -0.3156, -0.4754
853.1621,20.0000, -0.0249,-12.0000, -0.0029,1.6618, -0.2157, -0.4354
874.1625,20.0000, -0.0278,-12.0000, -0.0025,1.0027, -0.1558, -0.4754
893.1711,20.0000, -0.0263,-12.0000, -0.0025,0.1238, -0.2557, -0.6152
914.1609,20.0000, -0.0230,-12.0000, -0.0029,0.6432, -0.5752, -0.1158
935.1595,20.0000, -0.0238,-12.0000, -0.0028,1.0227, -0.3755, -0.0759
954.1611,20.0000, -0.0274,-12.0000, -0.0028,1.8416, -0.2357, -0.4953
975.1577,20.0000, -0.0289,-12.0000, -0.0034,0.8029, -0.2756, -0.6551
994.1582,20.0000, -0.0287,-12.0000, -0.0033,0.6631, -0.2157, -0.4554
1015.1564,20.0000, -0.0286,-12.0000, -0.0028,0.9228, -0.2756, -0.3555
1034.1576,20.0000, -0.0296,-12.0000, -0.0025,1.1225, -0.3156, -0.5153
1055.1549,20.0000, -0.0318,-12.0000, -0.0035,0.8629, -0.6152, -0.4354
1074.1510,20.0000, -0.0331,-12.0000, -0.0041,1.0826, -0.5952, -0.5752
1095.1536,20.0000, -0.0333,-12.0000, -0.0035,0.9428, -0.1758, -0.5553
1114.1498,20.0000, -0.0346,-12.0000, -0.0030,0.9028, -0.1558, -0.4354
1135.1511,20.0000, -0.0362,-12.0000, -0.0033,1.6618, -0.2756, -0.5353
1154.1479,20.0000, -0.0373,-12.0000, -0.0041,1.4621, -0.4754, -0.5553
1175.1503,20.0000, -0.0382,-12.0000, -0.0047,1.1425, -0.4354, -0.8149
1194.1458,20.0000, -0.0375,-12.0000, -0.0054,1.1025, -0.4554, -0.6751
1215.1464,20.0000, -0.0374,-12.0000, -0.0057,0.8429, -0.3156, -0.7750
1234.1429,20.0000, -0.0405,-12.0000, -0.0051,1.5220, -0.2756, -0.6751
1255.1459,20.0000, -0.0436,-12.0000, -0.0053,2.2011, -0.7151, -0.6152
1274.1434,20.0000, -0.0438,-12.0000, -0.0070,1.4820, -0.8349, -0.7750
1296.1450,20.0000, -0.0432,-12.0000, -0.0085,0.9827, -0.2956, -1.1145
1316.1428,20.0000, -0.0436,-12.0000, -0.0090,1.1225, -0.2756, -0.6951
1335.1403,20.0000, -0.0453,-12.0000, -0.0087,1.2823, -0.2357, -0.6951
1356.1431,20.0000, -0.0475,-12.0000, -0.0076,1.8416, -0.4554, -1.0147
1376.1382,20.0000, -0.0474,-12.0000, -0.0070,1.7217, -0.5553, -0.7750
1396.1375,20.0000, -0.0456,-12.0000, -0.0077,1.3223, -0.5353, -1.1145
1416.1349,20.0000, -0.0451,-12.0000, -0.0094,1.2224, -0.6951, -0.8549
1435.1378,20.0000, -0.0466,-12.0000, -0.0106,1.6418, -0.3555, -0.8149
1456.1348,20.0000, -0.0483,-12.0000, -0.0101,1.6019, -0.6152, -0.9348
1476.1334,20.0000, -0.0487,-12.0000, -0.0088,1.9215, -0.4754, -0.9947
1496.1490,20.0000, -0.0481,-12.0000, -0.0084,1.4421, -0.4155, -1.0346
1515.1332,20.0000, -0.0488,-12.0000, -0.0098,1.3422, -0.9947, -0.8948
1536.1301,20.0000, -0.0493,-12.0000, -0.0122,1.8815, -0.5952, -0.7750
1556.1315,20.0000, -0.0470,-12.0000, -0.0133,1.7217, -0.4953, -1.0346
1576.1317,20.0000, -0.0434,-12.0000, -0.0120,1.1025, -0.4354, -0.9947
1596.1293,20.0000, -0.0424,-12.0000, -0.0093,1.6019, -0.1758, -1.1545
1616.1285,20.0000, -0.0442,-12.0000, -0.0082,1.4022, -0.3356, -1.1345
1635.1276,20.0000, -0.0459,-12.0000, -0.0102,1.7217, -0.5353, -0.5553
1657.1276,20.0000, -0.0460,-12.0000, -0.0135,1.6019, -0.6152, -0.9148
1677.1277,20.0000, -0.0458,-12.0000, -0.0143,1.5619, -0.3156, -1.1345
1697.1300,20.0000, -0.0447,-12.0000, -0.0121,1.9015, -0.1558, -1.2543
1717.1287,20.0000, -0.0405,-12.0000, -0.0111,1.0426, -0.2557, -1.3143
1737.1229,20.0000, -0.0377,-12.0000, -0.0128,1.0027, -0.1358, -0.8948
1756.1244,20.0000, -0.0398,-12.0000, -0.0150,1.3023, -0.1558, -0.5952
1777.1232,20.0000, -0.0436,-12.0000, -0.0155,1.9015, -0.4953, -0.7750
1797.1222,20.0000, -0.0434,-12.0000, -0.0143,1.7018, -0.2357, -1.2144
1817.1219,20.0000, -0.0361,-12.0000, -0.0124,1.8216, -0.1158, -1.1745
1837.1204,20.0000, -0.0271,-12.0000, -0.0112,0.5633, -0.2357, -1.0946
1857.1215,20.0000, -0.0237,-12.0000, -0.0109,1.1625, -0.4554, -0.7151
1876.1201,20.0000, -0.0232,-12.0000, -0.0120,1.5619, -0.1558, -0.5353
1897.1183,20.0000, -0.0200,-12.0000, -0.0136,1.8216, -0.1558, -0.3555
1916.1147,20.0000, -0.0145,-12.0000, -0.0128,0.7430, -0.2157, -1.0346
1937.1177,20.0000, -0.0119,-12.0000, -0.0100,0.5433, 0.1039, -1.1745
1956.1158,20.0000, -0.0136,-12.0000, -0.0089,0.4234, -0.0360, -0.6352
1977.1162,20.0000, -0.0139,-12.0000, -0.0112,1.2823, -0.0559, -0.2557
1996.1147,20.0000, -0.0096,-12.0000, -0.0133,1.3822, -0.3555, -0.6152
2017.1165,20.0000, -0.0049,-12.0000, -0.0110,0.3036, -0.1158, -0.8549
2038.1122,20.0000, -0.0026,-12.0000, -0.0074,0.5433, 0.0439, -0.7750
2057.1113,20.0000, -0.0005,-12.0000, -0.0073,0.4634, 0.0439, -0.5553
2078.1101,20.0000, 0.0007,-12.0000, -0.0099,0.6232, 0.0639, -0.4953
2097.1121,20.0000, 0.0011,-12.0000, -0.0114,0.6432, 0.0639, -0.4754
2118.1084,20.0000, 0.0034,-12.0000, -0.0104,0.4634, 0.0639, -0.3555
2137.1057,20.0000, 0.0075,-12.0000, -0.0081,0.0439, 0.0639, -0.5553
2158.1069,20.0000, 0.0099,-12.0000, -0.0068,0.4234, 0.0639, -0.5752
2177.1052,20.0000, 0.0103,-12.0000, -0.0079,0.2437, 0.0639, -0.3555
2198.1045,20.0000, 0.0104,-12.0000, -0.0108,0.4834, 0.0839, -0.2157
2217.1052,20.0000, 0.0106,-12.0000, -0.0130,0.8029, 0.3036, -0.3156
2238.1025,20.0000, 0.0120,-12.0000, -0.0123,0.2237, 0.3835, -0.4554
2257.1028,20.0000, 0.0148,-12.0000, -0.0092,0.0240, 0.3635, -0.6551
2278.1042,20.0000, 0.0174,-12.0000, -0.0060,0.0839, 0.3435, -0.2756
2298.0989,20.0000, 0.0170,-12.0000, -0.0050,0.3236, -0.0759, -0.4554
2318.1003,20.0000, 0.0148,-12.0000, -0.0066,1.2823, 0.0639, 0.1438
2338.0981,20.0000, 0.0152,-12.0000, -0.0090,0.8629, 0.0839, -0.1358
2357.1011,20.0000, 0.0188,-12.0000, -0.0088,0.1638, 0.3435, -0.5952
2378.0996,20.0000, 0.0214,-12.0000, -0.0050,0.0839, 0.0839, -0.5153
2397.0969,20.0000, 0.0207,-12.0000, -0.0010,0.0639, 0.1638, -0.1158
2418.0972,20.0000, 0.0196,-12.0000, -0.0002,0.0639, 0.0839, 0.0040
2438.0986,20.0000, 0.0195,-12.0000, -0.0025,0.0639, 0.0639, 0.0439
2459.0955,20.0000, 0.0189,-12.0000, -0.0049,0.0639, 0.0639, -0.0160
2479.0952,20.0000, 0.0176,-12.0000, -0.0056,0.8229, 0.0639, -0.2557
2498.0935,20.0000, 0.0181,-12.0000, -0.0048,1.0027, 0.0639, -0.6951
2519.0933,20.0000, 0.0204,-12.0000, -0.0025,-0.0759, 0.0839, -0.5952
2538.0911,20.0000, 0.0225,-12.0000, 0.0003,0.1039, 0.0839, -0.4953
2559.0911,20.0000, 0.0234,-12.0000, 0.0010,0.0639, 0.2237, 0.0040
2579.0894,20.0000, 0.0227,-12.0000, -0.0010,0.0639, 0.2237, 0.0439
2599.0884,20.0000, 0.0214,-12.0000, -0.0031,0.0639, 0.4035, 0.0839
2619.0889,20.0000, 0.0211,-12.0000, -0.0032,0.0639, 0.5233, 0.0639
2639.0876,20.0000, 0.0212,-12.0000, -0.0017,0.0639, -0.0160, -0.2557
