Time, TargetPitch, SensorPitch, TargetRoll, SensorRoll, VelM1, VelM2, VelM3
13.8601,0.0000, -0.0338,0.0000, 0.0174,0.0439, 0.0639, 0.0639
29.8605,0.0000, -0.0339,0.0000, 0.0173,0.4035, 0.0040, 0.0639
49.8604,0.0000, -0.0339,0.0000, 0.0174,0.7830, -0.6951, 0.0439
69.8546,0.0000, -0.0337,0.0000, 0.0172,0.5832, -1.0147, 0.0439
89.8527,0.0000, -0.0331,0.0000, 0.0161,0.6831, -0.8948, 0.1438
109.8525,0.0000, -0.0318,0.0000, 0.0144,0.9827, -0.3555, -0.2157
129.8550,0.0000, -0.0302,0.0000, 0.0133,0.6831, -0.1758, -0.2756
149.8524,0.0000, -0.0284,0.0000, 0.0125,0.6032, -0.4953, 0.0240
169.8515,0.0000, -0.0258,0.0000, 0.0115,0.4834, -0.6751, 0.0639
189.8534,0.0000, -0.0240,0.0000, 0.0105,0.6032, -0.4155, 0.1238
209.8536,0.0000, -0.0236,0.0000, 0.0103,0.6432, -0.4953, 0.0639
229.8522,0.0000, -0.0224,0.0000, 0.0097,0.6432, -0.2157, -0.1358
249.8495,0.0000, -0.0205,0.0000, 0.0086,0.3236, -0.4554, -0.0360
269.8509,0.0000, -0.0189,0.0000, 0.0084,0.5233, -0.3955, -0.0160
289.8509,0.0000, -0.0179,0.0000, 0.0081,0.2437, -0.2157, 0.1039
309.8504,0.0000, -0.0168,0.0000, 0.0073,0.5033, -0.5353, -0.2756
329.8510,0.0000, -0.0156,0.0000, 0.0070,0.6032, -0.2157, 0.0240
349.8499,0.0000, -0.0147,0.0000, 0.0069,0.4634, -0.1158, 0.0439
369.8492,0.0000, -0.0133,0.0000, 0.0063,0.4434, -0.1558, 0.0639
391.8500,0.0000, -0.0122,0.0000, 0.0056,0.3036, -0.0759, 0.0639
410.8515,0.0000, -0.0116,0.0000, 0.0053,0.3635, -0.3156, 0.0240
430.8513,0.0000, -0.0108,0.0000, 0.0048,0.2836, -0.1558, 0.0439
450.8498,0.0000, -0.0098,0.0000, 0.0043,0.2037, -0.3555, -0.2357
470.8512,0.0000, -0.0093,0.0000, 0.0039,0.5633, -0.0759, -0.0559
490.8506,0.0000, -0.0087,0.0000, 0.0039,0.3435, -0.1358, 0.0040
510.8494,0.0000, -0.0078,0.0000, 0.0039,0.2437, -0.3356, 0.0439
530.8508,0.0000, -0.0071,0.0000, 0.0034,0.2237, -0.2357, 0.2237
550.8477,0.0000, -0.0067,0.0000, 0.0033,0.6032, -0.2357, 0.0839
570.8502,0.0000, -0.0064,0.0000, 0.0031,0.4834, -0.1957, 0.0639
590.8463,0.0000, -0.0056,0.0000, 0.0027,0.2637, -0.3356, 0.0439
610.8479,0.0000, -0.0043,0.0000, 0.0021,0.1238, -0.3156, 0.0240
630.8503,0.0000, -0.0037,0.0000, 0.0018,0.1438, -0.0959, -0.2157
650.8477,0.0000, -0.0039,0.0000, 0.0021,0.5832, -0.0360, 0.0639
670.8474,0.0000, -0.0039,0.0000, 0.0024,0.3435, -0.0160, 0.0639
