Time, TargetPitch, SensorPitch, TargetRoll, SensorRoll, VelM1, VelM2, VelM3
16.2083,0.0000, -0.0043,0.0000, 0.0127,0.0639, 0.0639, 0.0439
32.2082,0.0000, -0.0043,0.0000, 0.0128,0.0639, -0.1158, 0.0839
52.2067,0.0000, -0.0043,0.0000, 0.0129,0.0639, -0.2756, 0.3835
72.2056,0.0000, -0.0044,0.0000, 0.0127,0.0639, -0.6951, 0.6232
92.2045,0.0000, -0.0044,0.0000, 0.0122,0.0639, -0.8149, 0.5033
112.2026,0.0000, -0.0044,0.0000, 0.0099,0.1438, -0.4155, 0.2237
132.2029,0.0000, -0.0041,0.0000, 0.0079,0.1238, -0.1558, 0.1039
152.2029,0.0000, -0.0039,0.0000, 0.0075,0.3036, 0.0040, -0.0559
172.2013,0.0000, -0.0041,0.0000, 0.0073,0.2836, -0.0360, -0.0559
192.2002,0.0000, -0.0036,0.0000, 0.0070,0.2237, 0.0040, 0.3036
212.2009,0.0000, -0.0032,0.0000, 0.0066,0.3236, -0.1358, 0.1638
232.1988,0.0000, -0.0032,0.0000, 0.0063,0.1838, -0.3156, 0.3236
252.1978,0.0000, -0.0030,0.0000, 0.0057,0.1238, -0.2956, 0.1438
272.1992,0.0000, -0.0026,0.0000, 0.0046,0.2637, 0.0240, 0.0639
292.1960,0.0000, -0.0025,0.0000, 0.0041,0.1438, 0.0040, 0.0639
312.1950,0.0000, -0.0019,0.0000, 0.0042,0.0639, -0.1358, -0.1358
332.1931,0.0000, -0.0013,0.0000, 0.0037,0.0639, -0.0160, -0.0360
352.1927,0.0000, -0.0014,0.0000, 0.0036,0.0639, -0.2557, 0.1039
373.1919,0.0000, -0.0016,0.0000, 0.0036,0.0639, -0.0759, 0.1039
393.1913,0.0000, -0.0015,0.0000, 0.0032,0.0639, -0.1158, 0.3835
413.1898,0.0000, -0.0016,0.0000, 0.0033,0.0639, 0.0439, 0.3435
433.1905,0.0000, -0.0018,0.0000, 0.0030,0.0639, 0.0439, 0.3036
453.1902,0.0000, -0.0017,0.0000, 0.0025,0.0639, 0.0240, 0.0639
473.1882,0.0000, -0.0018,0.0000, 0.0024,0.0639, 0.0439, -0.0959
493.1893,0.0000, -0.0020,0.0000, 0.0024,0.0639, -0.1758, 0.0439
513.1881,0.0000, -0.0017,0.0000, 0.0024,0.0639, -0.2956, 0.0639
533.1859,0.0000, -0.0016,0.0000, 0.0024,0.0639, -0.0559, 0.1438
553.1861,0.0000, -0.0017,0.0000, 0.0024,0.0639, 0.0439, 0.0639
573.1843,0.0000, -0.0017,0.0000, 0.0021,0.0639, 0.0639, 0.4035
593.1866,0.0000, -0.0016,0.0000, 0.0021,0.0639, 0.0439, 0.3036
613.1865,0.0000, -0.0016,0.0000, 0.0018,0.2836, 0.1438, -0.0759
633.1873,0.0000, -0.0016,0.0000, 0.0012,0.3835, -0.3356, 0.0639
653.1815,0.0000, -0.0013,0.0000, 0.0013,0.2237, -0.0160, 0.0240
673.1823,0.0000, -0.0006,0.0000, 0.0009,0.1438, -0.0759, 0.0040
693.1788,0.0000, 0.0008,0.0000, 0.0002,0.0639, -0.0160, 0.0439
713.1797,0.0000, 0.0012,0.0000, 0.0003,0.0639, 0.0439, 0.0839
735.1809,0.0000, 0.0007,0.0000, 0.0006,0.0639, 0.0439, 0.3036
754.1786,0.0000, 0.0005,0.0000, 0.0007,0.0439, 0.0639, 0.1638
774.1779,0.0000, 0.0003,0.0000, 0.0006,0.0639, 0.0639, 0.1438
794.1774,0.0000, 0.0002,0.0000, 0.0007,0.0439, 0.0439, 0.1638
814.1763,0.0000, 0.0002,0.0000, 0.0005,0.0240, 0.0439, 0.0639
834.1758,0.0000, -0.0000,0.0000, 0.0003,0.0240, 0.0439, 0.0639
854.1729,0.0000, -0.0002,0.0000, 0.0004,-0.1358, -0.1758, 0.2637
874.1750,0.0000, -0.0003,0.0000, 0.0005,-0.0360, 0.0040, 0.0439
894.1725,0.0000, -0.0002,0.0000, 0.0002,0.0040, -0.1158, 0.0639
914.1721,0.0000, -0.0004,0.0000, -0.0003,0.0439, -0.0559, -0.0959
934.1714,0.0000, -0.0008,0.0000, -0.0002,0.0639, 0.0439, 0.0639
954.1700,0.0000, -0.0007,0.0000, -0.0002,0.0639, 0.0639, 0.0439
974.1671,0.0000, -0.0004,0.0000, -0.0006,0.0639, 0.0639, 0.0040
994.1692,0.0000, -0.0003,0.0000, -0.0004,0.0639, 0.0639, 0.0240
1014.1697,0.0000, -0.0005,0.0000, -0.0004,0.0639, 0.0639, -0.1558
1034.1658,0.0000, -0.0004,0.0000, -0.0005,0.0639, 0.1039, 0.2037
1054.1681,0.0000, -0.0002,0.0000, -0.0001,0.0639, -0.0959, 0.0639
1074.1682,0.0000, -0.0002,0.0000, 0.0000,0.0639, 0.0639, 0.0639
1095.1661,0.0000, 0.0000,0.0000, -0.0003,0.1039, 0.0439, 0.2637
1115.1654,0.0000, 0.0002,0.0000, -0.0002,0.1039, -0.0160, 0.1638
1135.1648,0.0000, 0.0002,0.0000, -0.0003,0.3036, -0.0360, 0.1238
1155.1636,0.0000, 0.0005,0.0000, -0.0006,-0.0160, -0.1758, 0.1238
1175.1627,0.0000, 0.0010,0.0000, -0.0011,0.1238, 0.1638, 0.2437
1195.1627,0.0000, 0.0011,0.0000, -0.0013,0.2037, 0.0439, -0.0160
1215.1611,0.0000, 0.0011,0.0000, -0.0015,0.2237, 0.0439, 0.1039
1235.1613,0.0000, 0.0015,0.0000, -0.0020,0.0639, 0.0639, 0.0439
1255.1599,0.0000, 0.0023,0.0000, -0.0023,0.0639, 0.0639, -0.0160
1275.1598,0.0000, 0.0021,0.0000, -0.0020,0.0639, 0.0639, -0.1758
1295.1587,0.0000, 0.0018,0.0000, -0.0015,0.0439, 0.1438, -0.0160
1315.1576,0.0000, 0.0021,0.0000, -0.0013,0.0439, 0.1238, 0.0439
1335.1550,0.0000, 0.0022,0.0000, -0.0010,0.0439, 0.1238, 0.0639
1355.1558,0.0000, 0.0020,0.0000, -0.0008,-0.1758, 0.2037, 0.1238
1375.1537,0.0000, 0.0020,0.0000, -0.0009,-0.3755, 0.0639, 0.0839
1395.1538,0.0000, 0.0018,0.0000, -0.0011,-0.1957, 0.0639, 0.1438
1415.1516,0.0000, 0.0010,0.0000, -0.0011,-0.0959, 0.0639, 0.3036
1435.1525,0.0000, 0.0000,0.0000, -0.0009,0.0439, 0.0639, -0.0360
1457.1511,0.0000, -0.0005,0.0000, -0.0014,0.0439, 0.0439, 0.0839
1476.1514,0.0000, -0.0004,0.0000, -0.0018,0.0639, -0.0759, 0.0439
