Time, TargetPitch, SensorPitch, TargetRoll, SensorRoll, VelM1, VelM2, VelM3
15.8522,0.0000, -0.0083,0.0000, -0.0022,0.2037, 0.0639, 0.0439
33.8578,0.0000, -0.0083,0.0000, -0.0019,0.0439, 0.0639, -0.0160
52.8558,0.0000, -0.0082,0.0000, -0.0018,0.0839, 0.0439, -0.0160
72.8505,0.0000, -0.0083,0.0000, -0.0019,0.1838, 0.0439, -0.1758
92.8467,0.0000, -0.0082,0.0000, -0.0015,0.2836, -0.1158, -0.0759
112.8465,0.0000, -0.0082,0.0000, -0.0008,0.0839, -0.4554, -0.0160
133.8473,0.0000, -0.0082,0.0000, -0.0003,0.0839, -0.0360, -0.0160
153.8460,0.0000, -0.0082,0.0000, -0.0004,-0.0360, 0.0439, -0.0959
173.8447,0.0000, -0.0081,0.0000, -0.0002,0.1438, 0.0639, 0.0639
193.8466,0.0000, -0.0081,0.0000, 0.0002,0.3036, 0.0439, 0.2037
213.8429,0.0000, -0.0079,0.0000, 0.0003,0.4634, 0.0439, 0.0040
233.8421,0.0000, -0.0076,0.0000, 0.0002,0.3835, 0.1438, -0.0559
253.8417,0.0000, -0.0069,0.0000, -0.0000,0.2437, -0.4953, -0.1957
273.8396,0.0000, -0.0053,0.0000, -0.0005,0.1039, 0.1039, 0.1238
293.8396,0.0000, -0.0043,0.0000, -0.0011,0.2637, 0.0439, 0.1238
313.8401,0.0000, -0.0047,0.0000, -0.0007,0.2437, 0.0639, -0.2956
333.8367,0.0000, -0.0046,0.0000, -0.0003,0.1438, 0.0639, 0.0240
353.8368,0.0000, -0.0040,0.0000, -0.0003,0.1039, 0.0639, 0.0439
373.8359,0.0000, -0.0033,0.0000, -0.0006,0.1238, 0.0639, 0.0639
393.8347,0.0000, -0.0030,0.0000, -0.0008,0.1638, 0.0639, 0.0439
413.8336,0.0000, -0.0030,0.0000, -0.0006,0.3435, 0.0639, 0.0439
433.8324,0.0000, -0.0028,0.0000, -0.0008,0.0639, 0.0639, -0.1758
453.8333,0.0000, -0.0025,0.0000, -0.0010,0.0639, 0.0639, 0.1438
473.8308,0.0000, -0.0019,0.0000, -0.0010,0.0639, 0.0639, -0.0559
494.8289,0.0000, -0.0017,0.0000, -0.0009,0.0639, 0.0639, 0.0839
514.8272,0.0000, -0.0020,0.0000, -0.0006,0.0639, 0.0240, 0.1638
534.8271,0.0000, -0.0020,0.0000, -0.0001,0.0639, 0.0240, 0.0040
554.8265,0.0000, -0.0019,0.0000, -0.0001,0.1039, -0.3955, -0.1957
574.8240,0.0000, -0.0018,0.0000, 0.0000,0.2037, 0.1438, 0.0240
594.8247,0.0000, -0.0017,0.0000, 0.0004,0.1438, 0.0439, 0.0439
614.8247,0.0000, -0.0015,0.0000, 0.0001,0.1638, 0.0639, 0.0639
634.8218,0.0000, -0.0010,0.0000, -0.0002,0.4834, 0.0639, 0.0439
654.8227,0.0000, -0.0007,0.0000, -0.0003,0.1238, 0.0639, -0.0160
674.8198,0.0000, -0.0002,0.0000, -0.0004,0.0639, 0.0639, 0.0240
