Time, TargetPitch, SensorPitch, TargetRoll, SensorRoll, VelM1, VelM2, VelM3
15.1868,0.0000, 0.0054,0.0000, -0.0054,0.0639, 0.0639, 0.0240
31.1852,0.0000, 0.0055,0.0000, -0.0054,0.0639, 0.0639, 0.0040
52.1869,0.0000, 0.0053,0.0000, -0.0050,0.0639, 0.0639, 0.0040
72.1837,0.0000, 0.0051,0.0000, -0.0046,0.0439, 0.1238, -0.1558
92.1824,0.0000, 0.0050,0.0000, -0.0045,-0.4354, 0.3635, 0.1838
111.1805,0.0000, 0.0048,0.0000, -0.0045,-0.2357, 0.3835, 0.0439
132.1821,0.0000, 0.0045,0.0000, -0.0039,-0.4953, 0.4234, 0.0639
152.1812,0.0000, 0.0036,0.0000, -0.0032,0.0040, 0.2637, 0.1039
172.1843,0.0000, 0.0022,0.0000, -0.0023,0.0439, 0.1238, 0.1438
192.1805,0.0000, 0.0011,0.0000, -0.0016,0.0639, 0.2637, 0.2237
212.1811,0.0000, 0.0006,0.0000, -0.0011,0.0639, 0.0639, 0.0639
232.1834,0.0000, 0.0008,0.0000, -0.0012,0.0639, 0.0439, 0.0639
252.1808,0.0000, 0.0011,0.0000, -0.0016,0.0639, 0.0639, 0.0240
272.1805,0.0000, 0.0014,0.0000, -0.0016,0.0639, 0.0639, -0.0559
292.1800,0.0000, 0.0012,0.0000, -0.0012,0.0639, 0.0639, 0.0240
312.1785,0.0000, 0.0006,0.0000, -0.0008,0.0639, 0.0639, -0.0559
332.1798,0.0000, 0.0005,0.0000, -0.0005,0.0639, 0.0639, -0.0360
352.1782,0.0000, 0.0010,0.0000, -0.0003,0.0639, 0.0639, 0.1838
372.1779,0.0000, 0.0014,0.0000, -0.0003,0.1039, 0.0639, 0.0439
393.1740,0.0000, 0.0013,0.0000, -0.0002,-0.0360, 0.1238, 0.2037
413.1733,0.0000, 0.0010,0.0000, -0.0001,0.0639, 0.1039, 0.0639
433.1726,0.0000, 0.0011,0.0000, 0.0003,0.0639, 0.2836, 0.0839
453.1726,0.0000, 0.0014,0.0000, 0.0007,0.0639, 0.2437, 0.3036
473.1734,0.0000, 0.0012,0.0000, 0.0011,0.0639, 0.0839, -0.0759
493.1727,0.0000, 0.0007,0.0000, 0.0012,0.0439, 0.0639, 0.1039
513.1722,0.0000, 0.0003,0.0000, 0.0011,0.0439, 0.0639, 0.1638
533.1725,0.0000, 0.0004,0.0000, 0.0011,0.0240, 0.0439, 0.3236
553.1703,0.0000, 0.0005,0.0000, 0.0012,-0.0559, -0.0160, 0.0839
573.1703,0.0000, 0.0001,0.0000, 0.0013,0.0240, 0.0240, -0.0959
593.1703,0.0000, -0.0009,0.0000, 0.0031,-0.0160, -0.0360, 0.0639
613.1694,0.0000, -0.0019,0.0000, 0.0057,0.0439, -0.2357, 0.0639
633.1683,0.0000, -0.0021,0.0000, 0.0069,0.0639, -0.2357, 0.0839
653.1678,0.0000, -0.0025,0.0000, 0.0070,0.0639, -0.1358, 0.0639
673.1682,0.0000, -0.0023,0.0000, 0.0049,0.0639, 0.0040, 0.0639
693.1675,0.0000, -0.0015,0.0000, 0.0074,0.0639, 0.0839, 0.0639
713.1686,0.0000, -0.0011,0.0000, 0.0119,0.0639, -0.0360, 0.3635
734.1661,0.0000, -0.0031,0.0000, 0.0125,0.0639, -0.5433, 0.1638
753.1660,0.0000, -0.0068,0.0000, 0.0125,0.0639, -0.5553, 0.6032
774.1657,0.0000, -0.0098,0.0000, 0.0119,0.0839, -0.4754, 0.4434
794.1647,0.0000, -0.0121,0.0000, 0.0117,0.3835, -0.3955, 0.5433
814.1633,0.0000, -0.0112,0.0000, 0.0091,0.8629, -0.3156, 0.3835
833.1644,0.0000, -0.0077,0.0000, 0.0003,0.9028, -0.4554, -0.0160
854.1643,0.0000, -0.0006,0.0000, -0.0047,0.0240, -0.3156, 0.0639
874.1638,0.0000, 0.0033,0.0000, -0.0074,0.0639, 0.1838, -0.3955
894.1622,0.0000, 0.0027,0.0000, -0.0107,0.0439, 0.2637, -0.9148
914.1620,0.0000, 0.0034,0.0000, -0.0045,0.0240, 0.9428, -0.1558
933.1603,0.0000, -0.0029,0.0000, -0.0019,-0.0559, 0.9348, -0.1358
954.1592,0.0000, -0.0074,0.0000, 0.0013,-0.2557, 0.0839, 0.1838
974.1599,0.0000, -0.0042,0.0000, 0.0103,0.0040, 0.0839, 0.0639
994.1589,0.0000, -0.0008,0.0000, 0.0133,0.1838, -0.2956, 0.4434
1014.1589,0.0000, -0.0010,0.0000, 0.0109,0.0439, -0.8149, 0.8229
1033.1589,0.0000, -0.0074,0.0000, 0.0044,0.0439, -0.7151, 0.6032
1054.1586,0.0000, -0.0144,0.0000, -0.0010,0.0439, -0.2157, 0.1238
1074.1561,0.0000, -0.0173,0.0000, -0.0034,0.0839, 0.1438, -0.1158
1094.1570,0.0000, -0.0154,0.0000, -0.0006,0.6432, 0.0439, -0.5153
1115.1573,0.0000, -0.0114,0.0000, 0.0021,1.1025, 0.0439, -0.5153
1135.1562,0.0000, -0.0093,0.0000, 0.0010,0.6831, -0.1758, -0.3755
1155.1544,0.0000, -0.0086,0.0000, -0.0016,0.3835, -0.2557, 0.1438
1175.1533,0.0000, -0.0062,0.0000, -0.0056,0.3835, -0.0559, 0.0439
1195.1541,0.0000, 0.0057,0.0000, 0.0069,0.1039, 0.0040, 0.0839
1215.1545,0.0000, 0.0113,0.0000, 0.0210,-0.1558, 0.0439, 0.0639
1235.1558,0.0000, 0.0072,0.0000, 0.0292,-0.5752, 0.0639, 0.4634
1255.1526,0.0000, 0.0060,0.0000, 0.0334,-1.0346, -0.3156, 1.4820
1274.1525,0.0000, 0.0031,0.0000, 0.0290,-0.6751, -1.0746, 1.5619
1295.1512,0.0000, 0.0005,0.0000, 0.0277,-0.1758, -1.2943, 0.8029
1314.1482,0.0000, -0.0020,0.0000, 0.0256,0.1838, -0.9348, 0.7230
1335.1504,0.0000, -0.0049,0.0000, 0.0219,0.0639, -0.0959, 0.4434
1355.1497,0.0000, -0.0078,0.0000, 0.0187,0.2037, -0.1957, 0.1039
1375.1490,0.0000, -0.0095,0.0000, 0.0169,0.7031, -0.4354, 0.0639
1395.1489,0.0000, -0.0090,0.0000, 0.0157,0.9028, -0.3755, 0.0639
1415.1479,0.0000, -0.0065,0.0000, 0.0145,0.4834, -0.3955, 0.3036
1435.1477,0.0000, -0.0035,0.0000, 0.0129,0.1638, -0.3755, 0.4035
1455.1459,0.0000, -0.0013,0.0000, 0.0107,0.0839, -0.1358, 0.3635
1476.1466,0.0000, 0.0002,0.0000, 0.0081,0.0639, 0.1438, 0.5633
1496.1453,0.0000, 0.0010,0.0000, 0.0054,0.0639, -0.0160, 0.2637
1516.1461,0.0000, 0.0010,0.0000, 0.0029,0.0639, 0.0439, 0.0040
1536.1447,0.0000, 0.0004,0.0000, 0.0011,0.0639, 0.0639, 0.0639
1556.1461,0.0000, -0.0002,0.0000, 0.0001,0.0439, 0.0639, 0.0639
1576.1442,0.0000, -0.0001,0.0000, -0.0007,0.0439, 0.0639, 0.0639
1596.1427,0.0000, 0.0006,0.0000, -0.0013,0.0439, 0.0639, 0.0439
1616.1434,0.0000, 0.0013,0.0000, -0.0020,0.0240, 0.0639, -0.1358
1636.1422,0.0000, 0.0016,0.0000, -0.0028,0.0240, 0.0639, -0.1957
1656.1409,0.0000, 0.0012,0.0000, -0.0036,0.0839, 0.0639, -0.1358
1676.1407,0.0000, 0.0008,0.0000, -0.0042,-0.4354, 0.0639, -0.0759
1696.1404,0.0000, 0.0009,0.0000, -0.0040,0.1039, 0.0639, -0.1558
1716.1412,0.0000, 0.0012,0.0000, -0.0035,0.0240, 0.1039, 0.0240
1736.1395,0.0000, 0.0010,0.0000, -0.0031,0.0439, 0.1638, 0.0439
1756.1405,0.0000, 0.0003,0.0000, -0.0030,0.0439, 0.2437, 0.0439
1776.1398,0.0000, -0.0003,0.0000, -0.0034,0.0639, 0.1638, 0.0639
1796.1393,0.0000, -0.0003,0.0000, -0.0045,0.0639, 0.2637, 0.0639
1816.1382,0.0000, 0.0003,0.0000, -0.0061,0.0639, -0.0759, 0.0639
1837.1356,0.0000, 0.0013,0.0000, -0.0075,0.0639, 0.0639, 0.1438
1857.1357,0.0000, 0.0018,0.0000, -0.0085,0.0639, 0.0639, 0.0639
1877.1350,0.0000, 0.0017,0.0000, -0.0088,0.0639, 0.0639, 0.0439
1897.1345,0.0000, 0.0011,0.0000, -0.0087,0.0639, 0.0639, 0.0240
1917.1342,0.0000, 0.0008,0.0000, -0.0086,0.2437, 0.2237, -0.3555
1937.1332,0.0000, 0.0010,0.0000, -0.0089,0.3435, 0.4834, -0.1957
1957.1359,0.0000, 0.0018,0.0000, -0.0094,0.1438, 0.2836, -0.2956
1977.1323,0.0000, 0.0026,0.0000, -0.0100,0.1638, 0.1238, -0.1158
1997.1310,0.0000, 0.0034,0.0000, -0.0101,0.0639, 0.2836, -0.1957
2017.1305,0.0000, 0.0039,0.0000, -0.0096,0.0639, 0.2037, 0.1039
2037.1284,0.0000, 0.0041,0.0000, -0.0093,0.0639, 0.4634, 0.0040
2057.1311,0.0000, 0.0038,0.0000, -0.0092,0.0639, 0.0839, 0.0439
2077.1292,0.0000, 0.0033,0.0000, -0.0092,-0.1358, 0.0839, 0.0439
2097.1296,0.0000, 0.0030,0.0000, -0.0092,0.0040, 0.5633, -0.1358
2117.1270,0.0000, 0.0029,0.0000, -0.0094,-0.2956, 0.5633, 0.0839
2137.1265,0.0000, 0.0030,0.0000, -0.0101,-0.2357, 0.1438, -0.1558
2157.1277,0.0000, 0.0031,0.0000, -0.0107,0.0639, 0.1838, 0.0040
2177.1282,0.0000, 0.0028,0.0000, -0.0108,0.0439, 0.1238, -0.0160
2197.1248,0.0000, 0.0020,0.0000, -0.0101,0.0439, 0.1238, -0.3755
2218.1279,0.0000, 0.0010,0.0000, -0.0089,0.0439, 0.2836, 0.0040
2238.1262,0.0000, 0.0005,0.0000, -0.0079,0.0639, 0.4634, -0.4953
2258.1245,0.0000, 0.0009,0.0000, -0.0072,0.0639, 0.3635, -0.2756
2278.1252,0.0000, 0.0019,0.0000, -0.0071,0.0639, 0.1039, 0.1838
2298.1255,0.0000, 0.0029,0.0000, -0.0075,0.0639, 0.0639, 0.0639
2318.1213,0.0000, 0.0034,0.0000, -0.0078,0.0639, 0.0639, 0.2437
2338.1228,0.0000, 0.0033,0.0000, -0.0078,0.0639, 0.0639, 0.2637
2358.1223,0.0000, 0.0028,0.0000, -0.0076,0.0639, 0.0639, 0.0639
2378.1208,0.0000, 0.0022,0.0000, -0.0077,0.0639, 0.4834, 0.0439
2398.1206,0.0000, 0.0021,0.0000, -0.0079,0.0439, 0.1238, 0.0040
2418.1201,0.0000, 0.0024,0.0000, -0.0083,0.0439, -0.0360, -0.0559
2438.1194,0.0000, 0.0029,0.0000, -0.0089,0.0240, 0.2437, -0.2157
2458.1194,0.0000, 0.0034,0.0000, -0.0092,-0.1358, 0.0639, -0.5952
2478.1182,0.0000, 0.0038,0.0000, -0.0088,-0.1358, 0.2836, -0.2756
