Time, TargetPitch, SensorPitch, TargetRoll, SensorRoll, VelM1, VelM2, VelM3
16.2065,0.0000, -0.0257,0.0000, 0.0057,0.0639, 0.0639, 0.0439
33.2103,0.0000, -0.0258,0.0000, 0.0060,0.4834, 0.0439, -0.0360
52.2072,0.0000, -0.0259,0.0000, 0.0060,1.2224, -0.8349, -0.4754
73.2065,0.0000, -0.0256,0.0000, 0.0063,1.5220, -1.0147, -0.3156
92.2040,0.0000, -0.0235,0.0000, 0.0055,0.9228, -0.6551, -0.5153
113.2039,0.0000, -0.0187,0.0000, 0.0037,0.4035, -0.2357, -0.0160
132.2026,0.0000, -0.0145,0.0000, 0.0026,0.1838, -0.1558, -0.0160
153.2032,0.0000, -0.0134,0.0000, 0.0021,0.1238, -0.0559, 0.0439
172.1989,0.0000, -0.0133,0.0000, 0.0016,0.3835, -0.0559, -0.1957
193.1987,0.0000, -0.0131,0.0000, 0.0011,0.4834, -0.0360, 0.0040
213.2016,0.0000, -0.0124,0.0000, 0.0009,0.1238, -0.0360, 0.2037
234.2011,0.0000, -0.0113,0.0000, 0.0006,0.4834, -0.0559, -0.2357
253.1997,0.0000, -0.0110,0.0000, 0.0003,0.2836, -0.0360, -0.1358
274.1989,0.0000, -0.0105,0.0000, 0.0005,0.2637, -0.1957, 0.0439
293.1961,0.0000, -0.0094,0.0000, 0.0005,0.4035, 0.0240, 0.0439
314.1964,0.0000, -0.0088,0.0000, -0.0000,-0.0160, -0.0160, 0.0639
334.1951,0.0000, -0.0078,0.0000, -0.0003,0.1638, 0.0439, -0.1558
354.1947,0.0000, -0.0073,0.0000, -0.0004,0.3635, 0.0639, 0.0040
373.1938,0.0000, -0.0072,0.0000, 0.0001,0.3435, 0.0639, -0.1158
394.1944,0.0000, -0.0069,0.0000, 0.0005,0.4035, -0.0160, -0.0959
413.1944,0.0000, -0.0062,0.0000, 0.0011,0.1238, -0.1957, 0.1039
434.1990,0.0000, -0.0053,0.0000, 0.0016,0.1039, -0.4155, 0.0439
454.1882,0.0000, -0.0052,0.0000, 0.0019,0.4035, -0.2557, 0.0639
474.1949,0.0000, -0.0051,0.0000, 0.0018,0.0040, 0.1039, 0.0639
493.1884,0.0000, -0.0046,0.0000, 0.0014,0.1638, 0.0439, 0.0839
514.1875,0.0000, -0.0042,0.0000, 0.0014,-0.0559, 0.0639, 0.0639
533.1855,0.0000, -0.0043,0.0000, 0.0016,0.2836, 0.0439, 0.0639
554.1873,0.0000, -0.0044,0.0000, 0.0018,0.4834, 0.0439, 0.0639
573.1848,0.0000, -0.0044,0.0000, 0.0019,0.1039, -0.2157, -0.2157
595.1835,0.0000, -0.0037,0.0000, 0.0019,0.1039, -0.1358, 0.0040
614.1823,0.0000, -0.0029,0.0000, 0.0016,0.0240, -0.1158, 0.0040
635.1816,0.0000, -0.0026,0.0000, 0.0014,0.2037, -0.2956, -0.2357
654.1816,0.0000, -0.0021,0.0000, 0.0007,0.1238, 0.0240, 0.0240
675.1799,0.0000, -0.0013,0.0000, 0.0000,0.1039, 0.0439, 0.0439
694.1802,0.0000, -0.0008,0.0000, -0.0003,0.0839, 0.0639, 0.0639
715.1796,0.0000, -0.0007,0.0000, -0.0008,0.0639, 0.0639, 0.0639
734.1771,0.0000, -0.0006,0.0000, -0.0010,0.0839, 0.0639, 0.0639
755.1782,0.0000, -0.0007,0.0000, -0.0013,0.2836, 0.0839, 0.0439
774.1761,0.0000, -0.0006,0.0000, -0.0015,0.1039, 0.1039, 0.0439
795.1766,0.0000, -0.0004,0.0000, -0.0016,0.4634, 0.1039, -0.0759
814.1758,0.0000, -0.0004,0.0000, -0.0017,0.4035, 0.0639, -0.2157
835.1733,0.0000, 0.0001,0.0000, -0.0012,-0.0559, 0.0639, -0.0360
854.1744,0.0000, 0.0013,0.0000, -0.0007,0.0639, 0.0639, 0.0639
875.1719,0.0000, 0.0017,0.0000, -0.0003,0.0439, 0.0639, 0.0439
894.1726,0.0000, 0.0017,0.0000, 0.0001,0.0240, 0.0639, 0.0639
915.1735,0.0000, 0.0017,0.0000, 0.0003,-0.2557, 0.0439, 0.0639
934.1688,0.0000, 0.0015,0.0000, 0.0006,-0.4754, -0.0160, 0.0639
956.1707,0.0000, 0.0011,0.0000, 0.0009,0.0040, -0.1358, 0.1438
976.1700,0.0000, 0.0006,0.0000, 0.0009,0.0240, 0.0040, 0.4234
995.1667,0.0000, 0.0005,0.0000, 0.0008,0.0439, -0.1158, 0.1238
1016.1685,0.0000, 0.0003,0.0000, 0.0006,0.0639, 0.1638, 0.0639
1035.1661,0.0000, 0.0002,0.0000, 0.0005,0.0639, -0.0160, 0.0639
1056.1649,0.0000, 0.0005,0.0000, 0.0005,0.0839, 0.0439, 0.0639
1075.1653,0.0000, 0.0005,0.0000, 0.0004,0.4434, 0.0439, 0.0439
1096.1633,0.0000, 0.0007,0.0000, 0.0002,0.3835, 0.0639, 0.0240
1115.1628,0.0000, 0.0011,0.0000, 0.0001,0.1438, 0.0639, -0.0160
1136.1611,0.0000, 0.0020,0.0000, -0.0002,0.0639, 0.0639, -0.0360
1155.1648,0.0000, 0.0024,0.0000, -0.0003,0.0639, 0.0639, 0.1238
1176.1604,0.0000, 0.0024,0.0000, -0.0004,0.1838, 0.0240, 0.0439
1195.1599,0.0000, 0.0026,0.0000, -0.0005,0.0040, -0.0160, 0.0439
1216.1595,0.0000, 0.0028,0.0000, -0.0008,0.1438, -0.0160, 0.0639
1235.1620,0.0000, 0.0032,0.0000, -0.0011,-0.0759, 0.0439, 0.0639
1256.1581,0.0000, 0.0034,0.0000, -0.0012,0.0639, 0.0639, 0.0639
1275.1573,0.0000, 0.0034,0.0000, -0.0013,0.0639, 0.0639, 0.2637
1297.1561,0.0000, 0.0033,0.0000, -0.0012,0.0639, 0.0639, 0.0639
1316.1554,0.0000, 0.0032,0.0000, -0.0012,0.0439, 0.0639, 0.0439
1337.1564,0.0000, 0.0031,0.0000, -0.0011,0.0439, 0.0639, 0.0639
1356.1527,0.0000, 0.0030,0.0000, -0.0010,0.0439, 0.1039, 0.0439
1377.1532,0.0000, 0.0029,0.0000, -0.0008,0.0439, 0.2437, 0.0439
1396.1523,0.0000, 0.0028,0.0000, -0.0006,-0.1358, 0.3036, -0.1957
1417.1525,0.0000, 0.0027,0.0000, -0.0004,-0.2557, 0.2037, -0.0559
1436.1482,0.0000, 0.0026,0.0000, -0.0000,0.1438, -0.0160, 0.0439
1457.1525,0.0000, 0.0022,0.0000, 0.0005,0.0639, 0.0639, 0.0439
1476.1565,0.0000, 0.0019,0.0000, 0.0008,0.0439, 0.0639, 0.0639
1497.1511,0.0000, 0.0019,0.0000, 0.0008,0.0639, 0.0639, 0.0639
1516.1461,0.0000, 0.0020,0.0000, 0.0008,0.0639, -0.1558, 0.0639
1537.1478,0.0000, 0.0020,0.0000, 0.0007,0.0639, -0.4354, 0.1039
1556.1455,0.0000, 0.0020,0.0000, 0.0006,0.0639, -0.1957, 0.1438
1577.1591,0.0000, 0.0023,0.0000, 0.0000,0.2437, -0.0160, 0.0439
1596.1422,0.0000, 0.0026,0.0000, -0.0008,0.0839, 0.0439, 0.0639
1617.1437,0.0000, 0.0027,0.0000, -0.0013,0.0639, 0.0639, 0.0639
1636.1422,0.0000, 0.0029,0.0000, -0.0014,0.1039, 0.0639, 0.0439
1658.1431,0.0000, 0.0030,0.0000, -0.0016,0.2637, 0.0639, -0.1358
1677.1427,0.0000, 0.0031,0.0000, -0.0017,0.1638, 0.0639, -0.0160
1698.1432,0.0000, 0.0034,0.0000, -0.0017,0.1039, 0.0639, -0.1358
1717.1417,0.0000, 0.0037,0.0000, -0.0015,0.1238, 0.2836, 0.0639
1738.1403,0.0000, 0.0040,0.0000, -0.0012,0.0639, 0.1438, 0.0439
1757.1389,0.0000, 0.0041,0.0000, -0.0009,0.0639, 0.1438, 0.0639
1778.1393,0.0000, 0.0040,0.0000, -0.0007,0.0639, 0.1838, 0.0639
1797.1382,0.0000, 0.0039,0.0000, -0.0004,0.0639, 0.1438, 0.0639
1818.1370,0.0000, 0.0038,0.0000, -0.0002,-0.1358, 0.1238, 0.0639
1837.1372,0.0000, 0.0037,0.0000, 0.0001,0.0439, 0.0639, 0.0839
1858.1353,0.0000, 0.0036,0.0000, 0.0003,-0.0759, 0.0639, 0.2237
1877.1349,0.0000, 0.0035,0.0000, 0.0005,-0.0959, 0.0639, 0.1638
1898.1323,0.0000, 0.0031,0.0000, 0.0004,0.0639, 0.0639, 0.0839
1917.1329,0.0000, 0.0025,0.0000, 0.0003,0.0639, 0.0439, 0.2237
1938.1301,0.0000, 0.0022,0.0000, 0.0004,0.0439, 0.0040, -0.0759
1958.1392,0.0000, 0.0018,0.0000, 0.0001,0.0639, -0.0559, 0.0639
1979.1318,0.0000, 0.0018,0.0000, 0.0001,0.0639, 0.0040, 0.0639
1998.1294,0.0000, 0.0019,0.0000, -0.0001,0.0639, -0.1358, 0.0639
2019.1279,0.0000, 0.0019,0.0000, -0.0003,0.0639, 0.0639, 0.0439
2038.1281,0.0000, 0.0020,0.0000, -0.0006,0.0639, 0.0439, -0.0759
2059.1257,0.0000, 0.0022,0.0000, -0.0009,0.0639, 0.0639, -0.1758
2078.1255,0.0000, 0.0024,0.0000, -0.0007,-0.0759, 0.0639, -0.0759
2099.1235,0.0000, 0.0026,0.0000, -0.0006,0.1238, 0.0639, 0.0240
2118.1233,0.0000, 0.0028,0.0000, -0.0006,-0.0360, 0.0639, 0.0639
2139.1230,0.0000, 0.0029,0.0000, -0.0006,-0.0360, 0.1039, 0.0639
2158.1230,0.0000, 0.0031,0.0000, -0.0007,0.0839, 0.1238, 0.0639
2179.1255,0.0000, 0.0032,0.0000, -0.0007,0.0639, 0.1438, 0.1039
2198.1196,0.0000, 0.0031,0.0000, -0.0006,0.0439, 0.1238, -0.0160
2219.1208,0.0000, 0.0029,0.0000, -0.0005,0.0639, 0.2037, 0.1238
