Time, TargetAxialTrunk, SensorPitch, TargetFrontalTrunk, SensorRoll, VelM1, VelM2, VelM3
20.0493,0.0000, -0.0326,0.0000, -0.0047,0.0639, 0.0439, 0.0639
38.0877,0.0000, -0.0326,0.0000, -0.0046,0.0639, 0.0439, 0.0439
57.0538,0.0000, -0.0326,0.0000, -0.0046,0.6831, -0.1158, -0.1358
76.0566,0.0000, -0.0321,0.0000, -0.0046,0.8429, -0.5153, -0.6152
97.0607,0.0000, -0.0309,0.0000, -0.0044,1.0227, -0.3755, -0.4554
117.0668,0.0000, -0.0298,0.0000, -0.0041,1.0626, -0.0559, -0.4953
136.0605,0.0000, -0.0284,0.0000, -0.0037,0.6232, -0.2157, -0.2756
158.2220,20.0000, -0.0262,-12.0000, -0.0033,0.8029, -0.2157, -0.2756
177.0450,20.0000, -0.0235,-12.0000, -0.0033,0.4234, -0.1758, -0.1358
198.0469,20.0000, -0.0204,-12.0000, -0.0030,0.2836, -0.1358, -0.2557
217.0471,20.0000, -0.0177,-12.0000, -0.0025,0.4834, -0.1558, -0.1358
238.0458,20.0000, -0.0156,-12.0000, -0.0019,0.5832, 0.0040, -0.1358
257.0445,20.0000, -0.0144,-12.0000, -0.0015,0.0839, -0.0559, -0.4953
278.0458,20.0000, -0.0140,-12.0000, -0.0013,0.4634, -0.3755, 0.1438
297.0432,20.0000, -0.0139,-12.0000, -0.0014,0.7630, -0.0160, -0.3356
318.0430,20.0000, -0.0139,-12.0000, -0.0012,0.5233, 0.1238, -0.2157
337.0417,20.0000, -0.0136,-12.0000, -0.0008,0.7031, 0.0439, -0.4953
358.0407,20.0000, -0.0128,-12.0000, -0.0006,0.3435, 0.0240, -0.0360
377.0384,20.0000, -0.0113,-12.0000, -0.0006,0.3635, -0.2157, 0.1438
398.0403,20.0000, -0.0099,-12.0000, -0.0004,0.0240, -0.1558, 0.0439
417.0393,20.0000, -0.0091,-12.0000, 0.0001,0.1039, -0.0360, -0.0559
438.0370,20.0000, -0.0089,-12.0000, 0.0003,0.0839, -0.0360, -0.0559
459.0358,20.0000, -0.0092,-12.0000, -0.0001,0.6032, -0.2157, -0.1758
478.0366,20.0000, -0.0099,-12.0000, -0.0005,0.3435, -0.4554, -0.0759
499.0343,20.0000, -0.0107,-12.0000, -0.0012,0.3236, -0.0360, -0.3755
518.0341,20.0000, -0.0114,-12.0000, -0.0015,0.2836, 0.0439, -0.1358
539.0343,20.0000, -0.0119,-12.0000, -0.0017,0.3835, 0.0639, -0.0759
558.0305,20.0000, -0.0119,-12.0000, -0.0020,0.4234, -0.1558, -0.0160
