Time, TargetAxialTrunk, SensorPitch, TargetFrontalTrunk, SensorRoll, VelM1, VelM2, VelM3
16.1962,0.0000, 0.0117,0.0000, -0.0045,0.0639, 0.2437, 0.0639
33.2203,0.0000, 0.0115,0.0000, -0.0042,0.0439, 0.1039, 0.0040
52.2305,0.0000, 0.0113,0.0000, -0.0039,-0.5353, 0.2637, 0.1238
74.1998,20.0000, 0.0105,-12.0000, -0.0039,-0.5553, 0.4035, 0.1838
93.1952,20.0000, 0.0094,-12.0000, -0.0041,-0.4554, 0.5233, 0.0040
112.2009,20.0000, 0.0088,-12.0000, -0.0042,-0.2756, 0.4434, 0.0639
133.1917,20.0000, 0.0082,-12.0000, -0.0042,-0.1758, 0.3236, 0.0639
152.1917,20.0000, 0.0068,-12.0000, -0.0037,0.0639, 0.2637, 0.0639
173.1912,20.0000, 0.0052,-12.0000, -0.0029,-0.0360, 0.2437, 0.0439
192.1912,20.0000, 0.0038,-12.0000, -0.0019,-0.0759, 0.0439, -0.1558
213.1900,20.0000, 0.0029,-12.0000, -0.0009,0.1638, 0.0639, 0.0240
234.1874,20.0000, 0.0030,-12.0000, -0.0002,0.0439, 0.0639, 0.0040
253.1882,20.0000, 0.0036,-12.0000, -0.0000,0.0639, 0.0639, 0.0040
274.1888,20.0000, 0.0044,-12.0000, -0.0001,0.0639, 0.0439, 0.0439
293.1877,20.0000, 0.0050,-12.0000, -0.0003,-0.1358, -0.1158, 0.0439
314.1875,20.0000, 0.0047,-12.0000, -0.0006,-0.1158, 0.0240, 0.2237
333.1925,20.0000, 0.0039,-12.0000, -0.0008,-0.4155, 0.0439, 0.0639
354.1867,20.0000, 0.0025,-12.0000, -0.0008,-0.0360, 0.0639, 0.3236
373.1835,20.0000, 0.0009,-12.0000, -0.0009,0.0040, 0.0639, 0.2836
394.1833,20.0000, -0.0003,-12.0000, -0.0010,0.0439, 0.0639, 0.1438
413.1835,20.0000, -0.0012,-12.0000, -0.0011,0.0439, 0.1638, -0.0360
434.1831,20.0000, -0.0017,-12.0000, -0.0012,0.0639, 0.1039, 0.0639
453.1831,20.0000, -0.0021,-12.0000, -0.0011,0.0639, 0.1039, 0.0639
474.1819,20.0000, -0.0027,-12.0000, -0.0011,0.0639, 0.1238, -0.0160
493.1809,20.0000, -0.0037,-12.0000, -0.0011,0.0639, 0.0639, -0.0160
514.1794,20.0000, -0.0051,-12.0000, -0.0011,0.0839, 0.0639, -0.2557
533.1798,20.0000, -0.0067,-12.0000, -0.0008,0.3036, 0.0639, -0.1957
554.1794,20.0000, -0.0084,-12.0000, -0.0004,0.4234, 0.0639, -0.0360
573.1796,20.0000, -0.0101,-12.0000, -0.0002,0.4234, 0.0439, -0.1957
595.1776,20.0000, -0.0113,-12.0000, -0.0001,0.7430, -0.2357, -0.4155
614.1769,20.0000, -0.0118,-12.0000, -0.0001,0.5633, -0.4155, -0.2756
635.1757,20.0000, -0.0120,-12.0000, -0.0003,0.3036, -0.2557, -0.1558
654.1720,20.0000, -0.0123,-12.0000, -0.0008,0.3036, -0.0759, -0.0559
675.1744,20.0000, -0.0126,-12.0000, -0.0012,0.3835, 0.0439, 0.0040
694.1725,20.0000, -0.0130,-12.0000, -0.0014,0.0839, 0.0639, -0.1158
715.1735,20.0000, -0.0141,-12.0000, -0.0013,0.3036, 0.0639, -0.3356
734.1714,20.0000, -0.0158,-12.0000, -0.0012,0.4035, 0.0439, -0.5153
755.1696,20.0000, -0.0182,-12.0000, -0.0006,0.5832, -0.2956, 0.0839
774.1707,20.0000, -0.0211,-12.0000, 0.0001,0.3635, -0.2956, 0.0240
795.1698,20.0000, -0.0242,-12.0000, 0.0005,0.8229, -0.2557, -0.0559
814.1686,20.0000, -0.0271,-12.0000, 0.0006,1.0426, -0.3555, -0.4155
835.1682,20.0000, -0.0289,-12.0000, -0.0002,1.2823, -0.1957, -0.3955
854.1681,20.0000, -0.0288,-12.0000, -0.0011,0.9627, -0.3356, -0.2557
875.1661,20.0000, -0.0281,-12.0000, -0.0021,0.8229, -0.0959, -0.2956
894.1661,20.0000, -0.0278,-12.0000, -0.0032,0.3635, -0.1558, -0.5353
915.1671,20.0000, -0.0280,-12.0000, -0.0038,0.7430, -0.2756, -0.2557
934.1630,20.0000, -0.0285,-12.0000, -0.0043,0.7031, -0.0759, -0.2357
955.1644,20.0000, -0.0288,-12.0000, -0.0047,0.6631, -0.2357, -0.7550
976.1615,20.0000, -0.0300,-12.0000, -0.0048,0.7031, 0.0240, -0.5353
995.1619,20.0000, -0.0323,-12.0000, -0.0046,0.8029, -0.1758, -0.3555
1016.1600,20.0000, -0.0348,-12.0000, -0.0040,1.1824, -0.2557, -0.3955
1035.1606,20.0000, -0.0374,-12.0000, -0.0032,0.8828, -0.4155, -0.3955
1056.1575,20.0000, -0.0400,-12.0000, -0.0026,1.2224, -0.5353, -0.5553
1075.1619,20.0000, -0.0423,-12.0000, -0.0028,1.3023, -0.3356, -0.4354
1096.1582,20.0000, -0.0439,-12.0000, -0.0039,1.2623, -0.3356, -0.2956
1116.1586,20.0000, -0.0444,-12.0000, -0.0053,1.5220, -0.4354, -0.8948
1136.1553,20.0000, -0.0440,-12.0000, -0.0067,1.0027, -0.4155, -0.6951
1155.1575,20.0000, -0.0436,-12.0000, -0.0074,0.8629, -0.3555, -0.3156
1176.1553,20.0000, -0.0436,-12.0000, -0.0075,0.9827, -0.3156, -0.6551
1196.1561,20.0000, -0.0434,-12.0000, -0.0080,1.3422, -0.3955, -0.7950
1216.1532,20.0000, -0.0428,-12.0000, -0.0089,0.9228, -0.2557, -0.9148
1236.1534,20.0000, -0.0434,-12.0000, -0.0100,0.9627, -0.3356, -0.6951
1255.1525,20.0000, -0.0458,-12.0000, -0.0107,1.1625, -0.3955, -0.3755
1276.1530,20.0000, -0.0486,-12.0000, -0.0102,1.4022, -0.2756, -0.7750
1296.1528,20.0000, -0.0513,-12.0000, -0.0096,1.4621, -0.4554, -1.0346
1317.1487,20.0000, -0.0541,-12.0000, -0.0100,1.7617, -0.6152, -0.9747
1337.1492,20.0000, -0.0565,-12.0000, -0.0116,1.6418, -0.6951, -0.7750
1357.1467,20.0000, -0.0583,-12.0000, -0.0138,1.6618, -0.2557, -0.9947
1377.1482,20.0000, -0.0596,-12.0000, -0.0156,1.6418, -0.3555, -0.9547
1397.1462,20.0000, -0.0602,-12.0000, -0.0167,1.8815, -0.4754, -0.8948
1417.1451,20.0000, -0.0598,-12.0000, -0.0171,1.8016, -0.3555, -1.4541
1437.1453,20.0000, -0.0587,-12.0000, -0.0171,1.7617, -0.3755, -1.6538
1457.1481,20.0000, -0.0574,-12.0000, -0.0164,1.5020, -0.2956, -1.2144
1477.1434,20.0000, -0.0560,-12.0000, -0.0152,1.5619, -0.2756, -1.0946
1497.1432,20.0000, -0.0545,-12.0000, -0.0131,1.8815, -0.2956, -0.8948
1516.1416,20.0000, -0.0533,-12.0000, -0.0099,1.2623, -0.4754, -0.7350
1537.1431,20.0000, -0.0530,-12.0000, -0.0069,0.9627, -0.5752, -1.0946
1557.1403,20.0000, -0.0536,-12.0000, -0.0052,1.2024, -0.5353, -0.8948
1577.1393,20.0000, -0.0539,-12.0000, -0.0051,1.8016, -0.7950, -0.6352
1596.1396,20.0000, -0.0533,-12.0000, -0.0061,1.8815, -0.6551, -0.6751
1617.1381,20.0000, -0.0526,-12.0000, -0.0077,1.6019, -1.0546, -0.7750
1637.1387,20.0000, -0.0524,-12.0000, -0.0103,0.8429, -0.1957, -0.8948
1657.7347,20.0000, -0.0526,-12.0000, -0.0140,1.8416, -0.5353, -0.8349
1679.1531,20.0000, -0.0520,-12.0000, -0.0175,1.9814, -0.1358, -0.9547
1699.1505,20.0000, -0.0503,-12.0000, -0.0200,1.6818, 0.0240, -1.4341
1719.1406,20.0000, -0.0495,-12.0000, -0.0212,1.3422, 0.1238, -1.5939
1739.1353,20.0000, -0.0498,-12.0000, -0.0205,1.3223, 0.1638, -1.3942
1759.1378,20.0000, -0.0497,-12.0000, -0.0178,1.8615, -0.2157, -1.0147
1779.1416,20.0000, -0.0492,-12.0000, -0.0147,1.4221, -0.4554, -1.5340
1799.1360,20.0000, -0.0495,-12.0000, -0.0119,1.3822, -0.3156, -1.0346
