Time, TargetPitch, SensorPitch, TargetRoll, SensorRoll, VelM1, VelM2, VelM3
15.7945,0.0000, 0.0404,0.0000, -0.0016,0.0439, 0.0639, 0.0639
32.7928,0.0000, 0.0404,0.0000, -0.0016,-0.2157, 0.0639, 0.0040
52.7915,0.0000, 0.0403,0.0000, -0.0015,-0.6951, 0.3036, 0.3435
72.7912,0.0000, 0.0400,0.0000, -0.0015,-1.1345, 0.5952, 0.5633
92.7895,0.0000, 0.0389,0.0000, -0.0015,-0.9547, 1.0027, 0.5233
112.7906,0.0000, 0.0378,0.0000, -0.0017,-0.7550, 0.4035, 0.2836
132.7885,0.0000, 0.0367,0.0000, -0.0021,-0.7151, 0.3835, 0.5033
152.7880,0.0000, 0.0346,0.0000, -0.0026,-0.4953, 0.4234, 0.3435
172.7862,0.0000, 0.0317,0.0000, -0.0032,-0.5153, 0.4834, 0.3036
192.7857,0.0000, 0.0283,0.0000, -0.0040,-0.8549, 0.2836, 0.4035
212.7859,0.0000, 0.0250,0.0000, -0.0045,-0.6152, 0.3875, 0.3236
232.7847,0.0000, 0.0222,0.0000, -0.0045,-0.1758, 0.3435, 0.1438
252.7849,0.0000, 0.0201,0.0000, -0.0042,-0.3955, 0.2437, -0.0360
272.7831,0.0000, 0.0186,0.0000, -0.0037,-0.5353, 0.3835, 0.0839
292.7831,0.0000, 0.0173,0.0000, -0.0028,-0.3755, 0.3036, 0.3435
312.7819,0.0000, 0.0165,0.0000, -0.0020,-0.4354, 0.3635, 0.1638
332.7819,0.0000, 0.0161,0.0000, -0.0016,-0.4155, 0.2637, 0.3036
353.7821,0.0000, 0.0158,0.0000, -0.0013,-0.1358, 0.3835, 0.4035
373.7807,0.0000, 0.0151,0.0000, -0.0012,-0.4155, 0.4634, 0.4035
393.7832,0.0000, 0.0140,0.0000, -0.0014,-0.5752, 0.3435, 0.3435
413.7795,0.0000, 0.0126,0.0000, -0.0018,-0.3356, 0.3236, 0.2637
433.7799,0.0000, 0.0111,0.0000, -0.0021,-0.2157, 0.1638, 0.2836
453.7777,0.0000, 0.0100,0.0000, -0.0020,0.0839, 0.1438, 0.2037
473.7758,0.0000, 0.0089,0.0000, -0.0017,-0.1158, 0.3036, 0.3835
493.7782,0.0000, 0.0077,0.0000, -0.0013,-0.2557, 0.4035, 0.3236
513.7783,0.0000, 0.0067,0.0000, -0.0009,-0.2756, 0.0240, -0.0959
533.7750,0.0000, 0.0061,0.0000, -0.0006,-0.3955, 0.4234, 0.2637
553.7724,0.0000, 0.0057,0.0000, -0.0004,-0.0160, 0.2237, 0.1438
573.7723,0.0000, 0.0054,0.0000, -0.0003,-0.0360, 0.2437, 0.1238
593.7728,0.0000, 0.0050,0.0000, -0.0002,-0.0759, 0.3036, 0.0439
613.7706,0.0000, 0.0044,0.0000, 0.0000,-0.1158, 0.2037, 0.2836
633.7702,0.0000, 0.0035,0.0000, 0.0001,-0.1758, 0.1638, 0.3236
653.7715,0.0000, 0.0026,0.0000, 0.0001,-0.1158, 0.2037, 0.3036
673.7699,0.0000, 0.0020,0.0000, -0.0002,-0.1758, 0.1838, 0.0639
693.7679,0.0000, 0.0018,0.0000, -0.0006,-0.1158, 0.0839, 0.0639
714.7663,0.0000, 0.0015,0.0000, -0.0010,-0.2557, 0.1638, 0.1438
734.7643,0.0000, 0.0012,0.0000, -0.0014,-0.0959, 0.1838, 0.3435
754.7659,0.0000, 0.0007,0.0000, -0.0018,-0.0559, 0.1238, -0.0360
774.7642,0.0000, 0.0004,0.0000, -0.0022,0.0439, 0.0040, -0.1158
794.7628,0.0000, 0.0001,0.0000, -0.0022,-0.1957, 0.2237, 0.0439
814.7618,0.0000, -0.0005,0.0000, -0.0019,-0.2157, 0.2237, 0.0439
834.7631,0.0000, -0.0012,0.0000, -0.0016,-0.2557, 0.1638, 0.0240
854.7618,0.0000, -0.0015,0.0000, -0.0013,-0.2557, 0.2437, 0.0439
874.7614,0.0000, -0.0019,0.0000, -0.0011,-0.0160, 0.0040, 0.0639
894.7607,0.0000, -0.0020,0.0000, -0.0010,0.0439, 0.0639, 0.0639
914.7607,0.0000, -0.0021,0.0000, -0.0010,0.0439, 0.2237, 0.1039
934.7581,0.0000, -0.0023,0.0000, -0.0009,0.0240, 0.0639, 0.1638
954.7588,0.0000, -0.0025,0.0000, -0.0010,-0.0759, -0.0160, 0.1238
974.7594,0.0000, -0.0028,0.0000, -0.0011,-0.2357, 0.3036, 0.2037
994.7583,0.0000, -0.0030,0.0000, -0.0012,-0.0360, 0.2437, 0.0639
1014.7563,0.0000, -0.0031,0.0000, -0.0011,-0.0160, 0.1838, 0.0639
1034.7542,0.0000, -0.0033,0.0000, -0.0011,-0.1158, 0.0839, 0.0639
1054.7551,0.0000, -0.0038,0.0000, -0.0011,-0.1758, 0.0639, 0.0639
1075.7522,0.0000, -0.0042,0.0000, -0.0010,0.0040, 0.0439, 0.0439
1095.7543,0.0000, -0.0043,0.0000, -0.0008,-0.0160, 0.0639, -0.0559
1115.7528,0.0000, -0.0043,0.0000, -0.0007,-0.1158, 0.0639, -0.0360
1135.7538,0.0000, -0.0042,0.0000, -0.0003,-0.0360, 0.1638, -0.1158
1155.7516,0.0000, -0.0039,0.0000, 0.0000,0.1438, 0.1238, 0.0439
1175.7513,0.0000, -0.0036,0.0000, 0.0004,0.0439, 0.2237, 0.0639
1195.7506,0.0000, -0.0034,0.0000, 0.0008,0.0439, -0.0360, 0.0639
1215.7501,0.0000, -0.0032,0.0000, 0.0012,0.0240, 0.0639, 0.0639
1235.7501,0.0000, -0.0032,0.0000, 0.0016,0.0240, 0.0639, 0.1438
1255.7485,0.0000, -0.0034,0.0000, 0.0020,-0.2357, 0.0639, 0.1039
1275.7485,0.0000, -0.0039,0.0000, 0.0022,-0.1158, 0.0240, 0.1438
1295.7465,0.0000, -0.0043,0.0000, 0.0020,0.0240, 0.0240, 0.1438
1315.7441,0.0000, -0.0043,0.0000, 0.0016,0.0439, 0.0040, 0.4234
1335.7449,0.0000, -0.0045,0.0000, 0.0011,0.0439, 0.0439, 0.1438
1355.7438,0.0000, -0.0046,0.0000, 0.0004,0.0639, 0.0639, 0.0439
1375.7413,0.0000, -0.0046,0.0000, 0.0000,0.0639, 0.0639, 0.0439
1395.7435,0.0000, -0.0046,0.0000, -0.0002,0.0439, 0.0839, 0.1838
1415.7404,0.0000, -0.0046,0.0000, -0.0004,0.0439, 0.1438, 0.0439
1436.7407,0.0000, -0.0045,0.0000, -0.0004,0.0439, 0.2836, 0.0040
1456.7400,0.0000, -0.0044,0.0000, -0.0001,-0.0160, 0.4234, -0.1758
1476.7406,0.0000, -0.0043,0.0000, 0.0005,-0.1758, 0.2037, 0.0639
1496.7412,0.0000, -0.0044,0.0000, 0.0011,0.1039, 0.0639, 0.0439
1516.7390,0.0000, -0.0047,0.0000, 0.0013,0.0439, 0.0639, 0.0639
1536.7383,0.0000, -0.0048,0.0000, 0.0014,0.0639, 0.0639, 0.0639
1556.7377,0.0000, -0.0050,0.0000, 0.0016,0.0639, 0.0439, 0.0839
