Time, TargetAxialTrunk, SensorPitch, TargetFrontalTrunk, SensorRoll, VelM1, VelM2, VelM3
15.8526,0.0000, -0.0589,0.0000, 0.0237,0.0639, 0.0639, 0.0439
32.8500,0.0000, -0.0589,0.0000, 0.0236,0.3036, 0.0639, 0.0040
52.8599,0.0000, -0.0589,0.0000, 0.0236,1.3223, -0.5752, -0.0959
72.8504,0.0000, -0.0587,0.0000, 0.0238,1.9015, -1.6738, -0.4953
92.8596,0.0000, -0.0561,0.0000, 0.0235,1.6418, -1.7337, -0.0959
112.8601,0.0000, -0.0505,0.0000, 0.0214,1.1824, -1.2743, 0.0240
132.9194,20.0000, -0.0451,-12.0000, 0.0185,0.8828, -0.6751, 0.0439
152.8530,20.0000, -0.0415,-12.0000, 0.0162,0.7630, -0.3356, 0.0439
172.8554,20.0000, -0.0395,-12.0000, 0.0148,0.8429, -0.4554, -0.0160
193.8512,20.0000, -0.0379,-12.0000, 0.0140,0.9028, -0.6551, -0.0160
212.8521,20.0000, -0.0357,-12.0000, 0.0132,0.6831, -0.7350, -0.4554
233.8514,20.0000, -0.0328,-12.0000, 0.0119,0.8828, -0.7750, 0.0040
253.8515,20.0000, -0.0299,-12.0000, 0.0107,0.8029, -0.4953, -0.1358
273.8494,20.0000, -0.0275,-12.0000, 0.0096,0.5832, -0.5153, -0.0160
293.8497,20.0000, -0.0251,-12.0000, 0.0091,0.6032, -0.3955, -0.2756
313.8469,20.0000, -0.0231,-12.0000, 0.0084,0.7430, -0.5752, -0.1158
333.8479,20.0000, -0.0215,-12.0000, 0.0079,0.7430, -0.4554, 0.0040
353.8481,20.0000, -0.0201,-12.0000, 0.0072,0.7830, -0.4155, 0.0439
373.8478,20.0000, -0.0186,-12.0000, 0.0063,0.4834, -0.3555, 0.0439
393.8441,20.0000, -0.0171,-12.0000, 0.0054,0.5233, -0.2157, -0.1158
413.8462,20.0000, -0.0163,-12.0000, 0.0044,0.4434, -0.4155, 0.1838
433.8473,20.0000, -0.0160,-12.0000, 0.0041,0.3435, -0.3555, 0.1238
453.8466,20.0000, -0.0153,-12.0000, 0.0032,0.6631, -0.2157, -0.1558
473.8419,20.0000, -0.0151,-12.0000, 0.0025,0.8429, -0.4554, 0.0240
493.8433,20.0000, -0.0147,-12.0000, 0.0022,0.7630, -0.5353, 0.0439
513.8417,20.0000, -0.0136,-12.0000, 0.0020,0.3236, -0.1358, 0.0639
533.8396,20.0000, -0.0130,-12.0000, 0.0011,0.3435, -0.1957, -0.0959
553.8403,20.0000, -0.0129,-12.0000, 0.0010,0.4234, -0.0360, 0.0040
574.8383,20.0000, -0.0131,-12.0000, 0.0010,0.6631, -0.3955, 0.0040
594.8377,20.0000, -0.0140,-12.0000, 0.0008,0.6032, -0.3156, -0.2557
614.8366,20.0000, -0.0143,-12.0000, 0.0001,0.6032, -0.3156, 0.0639
634.8376,20.0000, -0.0139,-12.0000, -0.0004,0.2237, 0.0240, -0.2557
654.8385,20.0000, -0.0138,-12.0000, -0.0009,0.6232, -0.2756, -0.1558
674.8372,20.0000, -0.0145,-12.0000, -0.0013,0.7031, -0.5153, -0.1957
694.8372,20.0000, -0.0153,-12.0000, -0.0014,0.1838, -0.2357, -0.0559
714.8390,20.0000, -0.0152,-12.0000, -0.0020,0.4834, -0.0160, -0.5353
734.8397,20.0000, -0.0161,-12.0000, -0.0022,0.8029, -0.0959, -0.3156
754.8377,20.0000, -0.0173,-12.0000, -0.0021,0.5633, -0.2557, -0.2357
774.8383,20.0000, -0.0184,-12.0000, -0.0020,0.7830, -0.1758, -0.0759
794.8348,20.0000, -0.0197,-12.0000, -0.0024,0.5033, -0.2756, -0.2157
814.8348,20.0000, -0.0205,-12.0000, -0.0026,0.4234, -0.1158, -0.2557
