Time, TargetAxialTrunk, SensorPitch, TargetFrontalTrunk, SensorRoll, VelM1, VelM2, VelM3
14.8576,0.0000, -0.0476,0.0000, 0.0316,-0.1558, 0.0639, 0.0639
31.8611,0.0000, -0.0477,0.0000, 0.0315,-1.1345, 0.0639, 0.1438
51.8672,0.0000, -0.0475,0.0000, 0.0315,-0.8748, -0.9547, 0.7430
71.8642,20.0000, -0.0485,-12.0000, 0.0317,0.2836, -1.6938, 0.8629
91.8621,20.0000, -0.0510,-12.0000, 0.0300,1.3223, -1.4940, 0.3236
111.8595,20.0000, -0.0505,-12.0000, 0.0256,1.8815, -1.0746, 0.0839
131.8586,20.0000, -0.0483,-12.0000, 0.0222,1.3422, -0.5353, -0.2756
151.8567,20.0000, -0.0439,-12.0000, 0.0203,0.6432, -0.5952, -0.6352
170.8562,20.0000, -0.0396,-12.0000, 0.0193,0.9627, -0.6352, -0.0759
191.8550,20.0000, -0.0376,-12.0000, 0.0191,0.9627, -0.8549, 0.0439
211.8567,20.0000, -0.0350,-12.0000, 0.0177,0.6232, -0.6152, 0.1238
230.8533,20.0000, -0.0323,-12.0000, 0.0163,0.7430, -0.6272, 0.1238
251.8532,20.0000, -0.0305,-12.0000, 0.0151,0.9028, -0.5952, 0.1638
271.8529,20.0000, -0.0298,-12.0000, 0.0138,0.6232, -0.5752, 0.2637
291.8528,20.0000, -0.0281,-12.0000, 0.0124,0.7430, -0.4155, 0.0839
311.8501,20.0000, -0.0270,-12.0000, 0.0112,0.8029, -0.2157, 0.0439
331.8495,20.0000, -0.0260,-12.0000, 0.0102,0.6432, -0.7950, -0.5752
351.8498,20.0000, -0.0252,-12.0000, 0.0094,1.0027, -0.7151, -0.0559
372.8483,20.0000, -0.0242,-12.0000, 0.0090,0.9028, -0.4354, -0.0759
392.8489,20.0000, -0.0227,-12.0000, 0.0079,0.5433, -0.4634, -0.2756
412.8470,20.0000, -0.0216,-12.0000, 0.0073,0.3435, -0.5952, 0.0439
432.8472,20.0000, -0.0211,-12.0000, 0.0068,0.6631, -0.5233, 0.0639
452.8455,20.0000, -0.0216,-12.0000, 0.0059,0.6432, -0.3955, 0.0040
472.8460,20.0000, -0.0217,-12.0000, 0.0053,0.8229, -0.2557, -0.1358
492.8447,20.0000, -0.0214,-12.0000, 0.0047,0.6432, -0.5952, 0.1438
512.8426,20.0000, -0.0212,-12.0000, 0.0040,0.6432, -0.2157, -0.0959
532.8430,20.0000, -0.0214,-12.0000, 0.0029,0.5633, -0.0559, 0.0839
552.8422,20.0000, -0.0214,-12.0000, 0.0026,0.8629, -0.4754, -0.5353
572.8409,20.0000, -0.0214,-12.0000, 0.0020,0.5433, -0.3955, -0.0160
592.8390,20.0000, -0.0208,-12.0000, 0.0019,0.5033, -0.5553, -0.1358
612.8391,20.0000, -0.0209,-12.0000, 0.0015,0.5832, -0.3356, 0.0040
632.8382,20.0000, -0.0223,-12.0000, 0.0010,0.9827, -0.1558, -0.2557
652.8514,20.0000, -0.0235,-12.0000, 0.0009,0.7230, -0.3955, -0.1558
672.8336,20.0000, -0.0238,-12.0000, 0.0008,0.7031, -0.5353, -0.2357
692.8331,20.0000, -0.0240,-12.0000, 0.0007,0.6032, -0.2357, 0.1638
713.8293,20.0000, -0.0251,-12.0000, 0.0002,0.7031, -0.5952, -0.1558
732.8329,20.0000, -0.0265,-12.0000, -0.0003,0.7630, -0.3156, -0.2956
753.8301,20.0000, -0.0277,-12.0000, -0.0006,1.1225, -0.3955, -0.0959
773.8284,20.0000, -0.0284,-12.0000, -0.0009,0.9627, -0.6631, -0.3156
793.8320,20.0000, -0.0286,-12.0000, -0.0018,0.7830, -0.3675, -0.3955
813.8270,20.0000, -0.0282,-12.0000, -0.0023,1.0626, -0.3755, -0.4754
833.8278,20.0000, -0.0287,-12.0000, -0.0025,0.6432, -0.4953, -0.4754
853.8242,20.0000, -0.0306,-12.0000, -0.0023,0.8629, -0.3755, -0.3755
873.8255,20.0000, -0.0320,-12.0000, -0.0016,0.9228, -0.4953, -0.2357
893.8249,20.0000, -0.0320,-12.0000, -0.0014,0.8828, -0.5353, -0.1558
913.8217,20.0000, -0.0320,-12.0000, -0.0020,0.9428, -0.4155, -0.3555
933.8216,20.0000, -0.0331,-12.0000, -0.0026,1.0027, -0.3755, -0.4354
953.8209,20.0000, -0.0343,-12.0000, -0.0024,1.0626, -0.3955, -0.3955
973.8196,20.0000, -0.0351,-12.0000, -0.0022,0.9028, -0.4155, -0.3356
993.8192,20.0000, -0.0357,-12.0000, -0.0029,0.9028, -0.3755, -0.1957
1013.8177,20.0000, -0.0366,-12.0000, -0.0027,1.2424, -0.7950, -0.5153
1033.8170,20.0000, -0.0384,-12.0000, -0.0031,1.2424, -0.5832, -0.1558
1053.8163,20.0000, -0.0395,-12.0000, -0.0040,1.2224, -0.5952, -1.0147
1073.8170,20.0000, -0.0399,-12.0000, -0.0041,1.0626, -0.6112, -0.9747
1093.8148,20.0000, -0.0408,-12.0000, -0.0039,1.0826, -0.2157, -0.2756
1113.8132,20.0000, -0.0428,-12.0000, -0.0020,1.4221, -0.6152, -0.3156
1133.8143,20.0000, -0.0457,-12.0000, -0.0011,1.4022, -0.6751, -0.0360
1154.8116,20.0000, -0.0463,-12.0000, -0.0026,1.2224, -0.7750, -0.7950
1174.8088,20.0000, -0.0459,-12.0000, -0.0048,1.3622, -0.3955, -0.3955
1194.8110,20.0000, -0.0464,-12.0000, -0.0058,1.4022, -0.3156, -0.5752
1214.8105,20.0000, -0.0492,-12.0000, -0.0050,1.6818, -0.6352, -0.6551
1234.8080,20.0000, -0.0523,-12.0000, -0.0038,1.6818, -0.7950, -0.5353
1254.8083,20.0000, -0.0527,-12.0000, -0.0035,1.4421, -0.8149, -0.7350
1274.8062,20.0000, -0.0521,-12.0000, -0.0045,1.2024, -0.3555, -0.3156
1294.8060,20.0000, -0.0520,-12.0000, -0.0055,1.5020, -0.6152, -0.5553
1314.8046,20.0000, -0.0537,-12.0000, -0.0058,1.6618, -0.5752, -0.6152
1334.8044,20.0000, -0.0563,-12.0000, -0.0055,1.4421, -0.6152, -0.7750
1354.8021,20.0000, -0.0571,-12.0000, -0.0044,1.4421, -0.5153, -0.9547
1374.8014,20.0000, -0.0564,-12.0000, -0.0038,1.3023, -0.5832, -0.5952
1394.8021,20.0000, -0.0559,-12.0000, -0.0048,1.5619, -0.8948, -0.6152
1414.8013,20.0000, -0.0578,-12.0000, -0.0070,1.6418, -0.6751, -0.8349
1434.7998,20.0000, -0.0605,-12.0000, -0.0086,1.9215, -0.5752, -1.4541
1454.8003,20.0000, -0.0615,-12.0000, -0.0081,1.7217, -0.6551, -1.0746
1475.7971,20.0000, -0.0602,-12.0000, -0.0059,1.5819, -0.4754, -0.7151
1495.7950,20.0000, -0.0578,-12.0000, -0.0047,1.8615, -1.0147, -0.3356
1515.7955,20.0000, -0.0582,-12.0000, -0.0061,1.6219, -1.0147, -0.8748
1535.7949,20.0000, -0.0595,-12.0000, -0.0079,1.8416, -0.6152, -0.9148
1555.7933,20.0000, -0.0589,-12.0000, -0.0081,1.7417, -0.4874, -0.7950
1575.7926,20.0000, -0.0577,-12.0000, -0.0070,1.9414, -0.7151, -0.5153
1595.7903,20.0000, -0.0574,-12.0000, -0.0057,1.6618, -0.9547, -0.9148
1615.7889,20.0000, -0.0584,-12.0000, -0.0053,2.0413, -0.4874, -1.0147
1635.7897,20.0000, -0.0583,-12.0000, -0.0060,1.9215, -0.5952, -0.9547
1655.8134,20.0000, -0.0558,-12.0000, -0.0071,2.1612, -0.8349, -0.6951
1675.7885,20.0000, -0.0526,-12.0000, -0.0075,1.6019, -0.9747, -0.8948
1695.7850,20.0000, -0.0509,-12.0000, -0.0066,1.6019, -0.5553, -0.7950
1715.7871,20.0000, -0.0510,-12.0000, -0.0065,2.1012, -0.7031, -0.7350
1735.7859,20.0000, -0.0520,-12.0000, -0.0088,1.6618, -0.7350, -0.6951
1755.7863,20.0000, -0.0525,-12.0000, -0.0128,1.3822, -0.8948, -0.7750
1775.7834,20.0000, -0.0504,-12.0000, -0.0167,2.1212, -0.7151, -0.5353
1796.7834,20.0000, -0.0460,-12.0000, -0.0180,2.0613, -0.9348, -1.1944
1816.7913,20.0000, -0.0406,-12.0000, -0.0165,1.6019, -0.5952, -1.0147
1836.7810,20.0000, -0.0360,-12.0000, -0.0147,1.3822, -0.4354, -0.9947
1856.7798,20.0000, -0.0335,-12.0000, -0.0156,1.8815, -0.1358, -0.7750
1876.7788,20.0000, -0.0298,-12.0000, -0.0196,1.4421, -0.2357, -0.8748
1896.7786,20.0000, -0.0244,-12.0000, -0.0232,1.1625, -0.5353, -0.9747
1916.7765,20.0000, -0.0206,-12.0000, -0.0227,1.2224, -0.1957, -0.7550
1936.7743,20.0000, -0.0195,-12.0000, -0.0193,1.2024, -0.3156, -0.9947
1956.7739,20.0000, -0.0188,-12.0000, -0.0177,1.3223, -0.1158, -0.7950
1976.7755,20.0000, -0.0166,-12.0000, -0.0205,1.6618, -0.4354, -0.9148
1996.7744,20.0000, -0.0131,-12.0000, -0.0252,1.1225, -0.0559, -0.4953
