Time, TargetAxialTrunk, SensorPitch, TargetFrontalTrunk, SensorRoll, VelM1, VelM2, VelM3
15.8373,0.0000, -0.0385,0.0000, -0.0142,0.0839, 0.0639, 0.0639
31.8289,0.0000, -0.0385,0.0000, -0.0144,0.4834, 0.0639, -0.1158
52.8303,0.0000, -0.0386,0.0000, -0.0144,0.4035, 0.0639, -0.4754
73.8296,0.0000, -0.0386,0.0000, -0.0142,0.9627, 0.0439, -1.2344
92.8192,0.0000, -0.0375,0.0000, -0.0133,1.2823, -0.1758, -0.7950
114.8389,0.0000, -0.0357,0.0000, -0.0112,1.2024, -0.5752, -0.4754
134.8389,0.0000, -0.0332,0.0000, -0.0095,0.3036, -0.1158, -0.3955
154.8239,20.0000, -0.0300,-12.0000, -0.0090,0.8229, -0.3555, -0.2357
173.8193,20.0000, -0.0288,-12.0000, -0.0086,0.5033, -0.2157, -0.5353
192.8191,20.0000, -0.0279,-12.0000, -0.0084,0.7830, -0.0959, -0.3755
213.8326,20.0000, -0.0260,-12.0000, -0.0079,0.6232, 0.0439, -0.3356
232.8164,20.0000, -0.0244,-12.0000, -0.0072,0.5233, 0.0439, -0.5353
253.8166,20.0000, -0.0233,-12.0000, -0.0064,0.3036, 0.0639, -0.3555
272.8144,20.0000, -0.0228,-12.0000, -0.0049,0.4834, 0.0439, -0.3555
293.8150,20.0000, -0.0227,-12.0000, -0.0035,0.7230, -0.1957, -0.2756
312.8140,20.0000, -0.0224,-12.0000, -0.0026,0.8229, -0.3156, -0.2956
333.8132,20.0000, -0.0220,-12.0000, -0.0014,0.3835, -0.2557, -0.0759
352.8116,20.0000, -0.0220,-12.0000, -0.0004,0.3835, -0.3356, -0.4354
373.8103,20.0000, -0.0224,-12.0000, 0.0003,0.7031, -0.0160, -0.2557
393.8095,20.0000, -0.0228,-12.0000, 0.0016,0.6232, -0.2557, 0.0439
413.8093,20.0000, -0.0229,-12.0000, 0.0027,0.7230, -0.1358, -0.1558
432.8086,20.0000, -0.0232,-12.0000, 0.0026,0.7430, -0.1758, -0.2157
453.8074,20.0000, -0.0235,-12.0000, 0.0029,0.6432, -0.1358, -0.3356
472.8051,20.0000, -0.0242,-12.0000, 0.0037,0.3635, -0.3156, -0.3356
493.8077,20.0000, -0.0247,-12.0000, 0.0049,0.5832, -0.2557, -0.1758
